Abhijit Naskar, Wise Mating: A Treatise on Monogamy|Sex is only a tool in love, not love itself.
Ralph Waldo Emerson|With fame, you can't trust everybody. You can't depend on them being there for you as a person. They will only be there because of what you've got you as a person. They will only be there because of what you've got and what you can bring to their life. It's not a relationship-it's a leech.
David Bayles, Art and Fear: Observations on the Perils (and Rewards) of Artmaking|There are no lines in nature, only areas of colour, one against another.
Phyllis Diller|Grace is in garments, in movements, in manners; beauty in the nude, and in forms. This is true of bodies; but when we speak of feelings, beauty is in their spirituality, and grace in their moderation.
Coretta Scott King|I think we will have full marriage rights in Colorado. But in 1992, there was a very hateful Amendment 2 that basically made it legal for any institution to deny gays and lesbians access, whether it's hospitals or restaurants or employment. Anybody could fire you or not let you in a restaurant because you were gay.
Sintia Astarina, Taman Pasir|....hurts like love, I guess. There's always room for more.
Renata Adler, Speedboat|People who are less happy, I find, are always consoling those who are more.
Mokokoma Mokhonoana, The Use and Misuse of Children|Although they probably know that some children were used and some children are used as miners, most adults are ignorant of the chocolate industry’s use of minors.
Rodney Richards|Now is much better then was, and if and when aren't as great as now - yet.
Sheri S. Tepper|No sentimentality, no romance, no false hope, no self-petting lies, merely that which is!
Israelmore Ayivor, The Great Hand Book of Quotes|You cannot do anything unless you allow your passion to motivate you. People may tell you, "you can do it", "you can make it" "it's possible" but when you tell yourself always " I can't make it", it's your choice that rules everything!
RJ Blizzard|A young homosexual friend recently said, "It's no secret that you, that one, has such-and-such color hair, is yea high, weighs thus and so, and so on, but when you keep one part of yourself secret, that becomes the most important part of you."And that is true, I think; it may be the most important truth of all.
J.D. Robb, Promises in Death|Roarke: The bodies of the three men were found floating in the Chattahoochee River.Eve: I think it'd be embarrassing to be dead in the Hoochie-Coochie River.Roarke: ChattahoocheeEve: What's the difference?Roarke: Quite a bit, I'd think.
Phil Lesh, Searching for the Sound: My Life with the Grateful Dead|It's a mystery. A man's at odds to know his mind cause his mind is aught he has to know it with. He can know his heart, but he dont want to. Rightly so. Best not to look in there. It aint the heart of a creature that is bound in the way that God has set for it. You can find meanness in the least of creatures, but when God made man the devil was at his elbow. A creature that can do anything. Make a machine. And a machine to make the machine. And evil that can run itself a thousand years, no need to tend it.
Penelope Ward, Stepbrother Dearest|This was a different kind of a kiss, not one that leads to something, but a hard, painful one.It was a goodbye kiss.
Priya Ardis, Ever My Merlin|I don't care how wonderful heaven is, I won't be content waiting thirty years for you.
Kim Cormack, Enlightenment|The days that passed had begun to melt together into weeks and months, creating a twisted mosaic of memories in her mind. Her dreams travelled a tortuous path between what had actually happened, and what could have been.
Ellen G. White|Death, they say, acquits us of all obligations.
Elizabeth Gaskell, North and South|Well, He had known what love was-a sharp pang, a fierce experience, in the midst of whose flames he was struggling! but, through that furnace he would fight his way out into the serenity of middle age,-all the richer and more human for having known this great passion.
