L.J. Vanier|Because the best gift in life, is just having someone to drink hot chocolate with
Jack Kerouac, Tristessa|You know you are a human when a beautiful image appearing on television/computer/smartphone/tab screen appears more alive than a living being.Basically, we are stupid.
Pat Conroy, My Losing Season: A Memoir|Fear not the phantom of death, My Countrymen, for his greatnessAnd mercy will refuse to approachYour smallness; and dread not the Dagger, for it will decline to beLodged in your shallow hearts.
Rick Riordan, The Last Olympian|Great, I thought. We just blowtorched a national monument.
Andrew Sean Greer, The Story of a Marriage|Perhaps love is a minor madness. And as with madness, it's unendurable alone. The one person who can relieve us is of course the sole person we cannot go to: the one we love. So instead we seek out allies, even among strangers and wives, fellow patients who, if they can't touch the edge of our particular sorrow, have felt something that cuts nearly as deep.
Maria Dorfner|I believe God works through other people. So, if you think about that it means you are God for someone else. Every day, reach out and help someone. If you tell me you are poor and have nothing to give -- then give someone a genuine compliment or smile and you will realize you're already rich. A kind word or deed can make all the difference in someone's life.
Jim Morrison|They call them terrorists, I call them freedom fighters.
Agatha Christie, The Secret Adversary|Marriage is called all sorts of things, a haven, and a refuge, and a crowning glory, and a state of bondage, and lots more. But do you know what I think it is?''What?''A sport!''And a damned good sport too,' said Tommy.
Auliq Ice|Love is the colour of spring sunshine muted through old windows. Love has a taste, a texture - dark chocolate with pistachios; a sound - wind chimes echoing from a distant hill; a rhythm - the tango, obviously.
Pablo Neruda, The Essential Neruda: Selected Poems|Te amo sin saber cómo, ni cuándo, ni de dónde, te amo directamente sin problemas ni orgullo: así te amo porque no sé amar de otra manera, sino así de este modo en que no soy ni eres, tan cerca que tu mano sobre mi pecho es mía, tan cerca que se cierran tus ojos con mi sueño.
Ron Hansen, The Assassination of Jesse James by the Coward Robert Ford|But if America falters in greatness and purpose, than Americans are nothing but the offscourings and hungry of other lands.
Dada Bhagwan|If there is an essence to this wordly life, then it is the basis of honesty [morality]. If you have little wealth but have honesty even then you will attain peace. And if you do not have honesty but lot of wealth even then restlessness will remain within.
Anthony Liccione|Faith never makes herself her own plea, she rests all her argument upon the blood of Christ.
Sepp Blatter|Liberals are some of the most arrogant, condescending smart alecks, but they're just pure ignorant, and they fit the bill of people who have no love and no respect for the founding of this country.
Anne Morrow Lindbergh, North to the Orient|There is, of course, always the personal satisfaction of writing down one's own experiences so they may be saved, caught and pinned under glass, hoarded against the winter of forgetfulness. Time has been cheated a little, at least, in one's own life, and a personal, trivial immortality of an old self assured.
Deepak Chopra|Few things kill likeability as quickly as arrogance. Likable leaders don't act as though they're better than you because they don't think that they're better than you. Rather than being a source of prestige, they see their leadership position as bringing them additional accountability for serving those who follow them.
Farah Oomerbhoy, The Last of the Firedrakes|I had to stop running. I had to turn and face my life head on. It wasn’t enough being like everybody else; I had to be the best, and I was going to show everyone what I was truly made of. I was done with being a terrified princess, constantly waiting to be saved. I was going to be a queen, and, like Vivienne said, I had better start behaving like one. - (Aurora Firedrake)
Naomi Wolf, The Beauty Myth|Spokespeople sell women the Iron Maiden and name her "Health": if public discourse were really concerned with women's health, it would turn angrily upon this aspect of the beauty myth.
