S.A. Tawks, Misadventurous|Now comes the hard part. Peyton, Peyton, Peyton. Just say Peyton.
Leos Carax|Since we all know that death is inevitable, I don't really see the difference between dying now and dying a decade later. So if I'm threatened with assassination, I welcome it!
Lou Doillon|My dad's name is Vernon and my mom liked the initials, V. V. My sisters and I got named Victoria, Valerie and Vincent so we'd be V. V.'s, too. But, then when you start getting pets' names that start with a 'v,' it's a little embarrassing.
Jonathan Harnisch, Freak|Sadly enough, the most painful goodbyes are the ones that are left unsaid and never explained.
Joyce Carol Oates|I'm doing everything in my power to be a great mother. I wish I could be with her throughout the day, because I'm always working, but I make sure that whether it's the morning or nighttime, I make it extra special.
Lori Benton, A Flight of Arrows|You remember to trust in Heavenly Father. Life is a blessing, but it is also a testing. Take the one as you do the other and trust Him who allows all. Trust what Creator is doing, though we cannot understand it or see the full path.
Virginia Woolf, To the Lighthouse|Rather I think that a man who ... is willing ... to value learning as long as he lives, not supposing that old age brings him wisdom of itself, will necessarily pay more attention to the rest of his life.
Richelle E. Goodrich, Slaying Dragons|I’m sorry. Oh, what simple words are these!I’m sorry. Lips should breathe them out with ease!But nay, in barring up the way,“I’ll die first” are the words you say.I’m sorry, woe is all pride guarantees.
A Gentlemen|Pretend you are a foolish to the tyrant – because if he realizes you are a genius, he might use you to harm others.
Alexander Payne|The 2012 presidential campaign's turn away from the classic, straight-up, American election - where the candidate who gets the most votes nationwide wins - is another sad reminder of the extreme political polarization distorting today's politics. No one talks about a 50-state strategy for winning the presidency these days.
Thea Harrison, Pia Does Hollywood|Avoid stress, the doctor had said. Eat lots of good food and enjoy this little mysterious bun cooking in the oven. Ha!
Os Guinness, God in the Dark|The question the doubter does not ask is whether faith was really useless or simply not used. What would you think of a boy who gave up learning to ride a bicycle, complaining that he hurt himself because his bicycle stopped moving so he had no choice but to fall off? If he wanted to sit comfortably while remaining stationary, he should not have chosen a bicycle but a chair. Similarly faith must be put to use, or it will become useless.
Lee Ellis, Leading With Honor: Leadership Lessons from the Hanoi Hilton|Persistence is important in every endeavor. Whether it’s finishing your homework, completing school, working late to finish a project, or “finishing the drill” in sports, winners persist to the point of sacrifice in order to achieve their goals.
Gail Carriger, Soulless|The ill-informed masses included her own family among their ranks, a family that specialized in being both inconvenient and asinine.
Shelby Foote, The Civil War, Vol. 1: Fort Sumter to Perryville|A visitor asked Lincoln what good news he could take home from an audience with the august executive. The president spun a story about a machine that baffled a chess champion by beating him thrice. The stunned champ cried while inspecting the machine, "There's a man in there!"Lincoln's good news, he confided from the heights of leadership, was that there was in fact a man in there.
Kathryn Davis|You could try making sense out of the universe, but you were too small and the parts you needed to see were too large or even smaller.
Steven D. Levitt, SuperFreakonomics: Global Cooling, Patriotic Prostitutes And Why Suicide Bombers Should Buy Life Insurance|Are people innately altruistic?" is the wrong kind of question to ask. People are people, and they respond to incentives. They can nearly always be manipulated--for good or ill--if only you find the right levers.
Alain de Botton|Life is not an easy matter... You cannot live through it without falling into frustration and cynicism unless you have before you a great idea which raises you above personal misery, above weakness, above all kinds of perfidy and baseness.
Khaled Hosseini, The Kite Runner|I wondered if that was how forgiveness budded; not with the fanfare of epiphany, but with pain gathering its things, packing up, and slipping away unannounced in the middle of the night.
Rex Curry|A person's right to a job is as specious as his boss' right to success in business. There is no right to a minimum wage, just as there is no right to success in self-employment.
Chris L. Hayes|We'd never talked about it, but I figured you knew the rules. If a cop stopped, you didn't run, you didn't talk back, you didn't ever, ever get angry. White people could do that—hell, they could shoot up a church and then ask for Burger King—but not us. We got killed at traffic stops for speeding, for having broken taillights, for knowing our rights.
