P.C. Cast|Damien has died and gone straight to gay boy heaven,' Shaunee said...
Margaret Thatcher|My husband was in the war of the Crimea. It is terrible the hardships he went through, to be two months without going into a house, under the snow in trenches. And no food to get, maybe a biscuit in the day. And there was enough food there, he said, to feed all Ireland; but bad management, they could not get it.
Loni Love|I look at the human life like an experiment. Every new moment, every new experience, tragic or otherwise, is an opportunity to gain a more accurate perspective and helps lead me to clarity.
Susan C. Young, The Art of Being: 8 Ways to Optimize Your Presence & Essence for Positive Impact|We all want to be happy and feel valued. We want love, connection, respect, confidence, health, vitality, passion, kindness, and success. When you generously provide these emotions for others, you activate the law of attraction to magnetize the same experiences for you.
Randall Jarrell, The Complete Poems|I see at last that all the knowledgeI wrung from the darkness—that the darkness flung me—Is worthless as ignorance: nothing comes from nothing,The darkness from the darkness. Pain comes from the darknessAnd we call it wisdom. It is pain.
Art Linkletter|I have always had a sense that we are all pretty much alone in life, particularly in adolescence.
Deyth Banger|People to be stronger they must have taste from everywhere the stuff, what's the feeling your father to suicide, what's the feeling to see people to die from real nature or from disease(s). That's real life!
Max DePree|Channeled correctly and integrated properly, our diversity can be our greatest strength.
Carl R White|Some say that a woman that trades her body for money is a whore, if that is the case, then a woman that trades her body for flattery and kind words is just a whore that is not paid as well.
Jean Paul|Simplicity, clarity, singleness: These are the attributes that give our lives power and vividness and joy as they are also the marks of great art. They seem to be the purpose of God for his whole creation.
Thom Mayne|I fought violently for the autonomy of architecture. It's a very passive, weak profession where people deliver a service. You want a blue door, you get a blue door. You want it to look neo-Spanish, you get neo-Spanish. Architecture with any authenticity represents resistance. Resistance is a good thing.
Jeff Bezos|Sometimes, when I look at my work at the newspaper and squint in just the right way, I can even see it as a microcosm of democracy itself. After all, every staff member participates in the creation of each issue. I solicit their ideas. I value the contributions of women and minorities. Of course, I wasn't democratically elected, but what newspaper chief ever was?
Saint Basil|I'm not saying that atheists can't act morally or have moral knowledge. But when I ascribe virtue to an atheist, it's as a theist who sees the atheist as conforming to objective moral values. The atheist, by contrast, has no such basis for morality. And yet all moral judgments require a basis for morality, some standard of right and wrong.
Christina Aguilera|If life is a journey, It can take you anywhere you wanna go.
Steve Grand, Creation: Life and How to Make It|The attention given to the side of the head which has received the injury, in connection with a specific reference to the side of the body nervously affected, is in itself evidence that in this case the ancient surgeon was already beginning observations on the localization of functions in the brain.
Jennifer Starzec, Determination|I often wished that more people understood the invisible side of things. Even the people who seemed to understand, didn't really.
Charbel Tadros|The relationship between apprentice and mentor is one of the most beautiful and most sacred relationships. In sharing his wisdom with his apprentice, the mentor discovers even more wisdom to share.
Michael Palin|Once the travel bug bites there is no known antidote, and I know that I shall be happily infected until the end of my life
Katie Reus, Chasing Danger|If you were truly ‘here for me,’ you would have a Kahlua in one hand and Henry Cavill’s number in the other. Since I’m not having drunken phone sex with Superman, there must be another reason you’re darkening my living room.
