Matthew Syed|If you list down whatever you didn’t get to do, then whatever you did won’t feel like it mattered.
Henrik Ibsen, The Wild Duck|Dear Mr. Chance and Ms. Brattle. Sorry about the mess. Great bed. Loved it. As a matter of fact, loved the whole house. Actually, I tried to kill your kids when I found them here. Yeah, funny story. Maybe not funny, hah hah.’”Astrid heard nervous laughter from the media people, or maybe just from the hotel staff who were hovering around the edges grabbing a glimpse of the Hollywood royalty.“‘Anyway, I missed and they got away. I don’t know what will happen to Sanjit and that stick-up-his butt Choo and the rest, but whatever happens next, it’s not on me. However . . .’”Astrid took a dramatic pause.“‘However, the rest of what happened was on me. Me, Caine Soren. You’ll probably be hearing a lot of crazy stories from kids. But what they didn’t know was that it was all me. Me. Me me. See, I had a power I never told anyone about. I had the power to make people do bad things. Crimes and whatnot. Especially Diana, who never did anything wrong on her own, by her own will, I mean. She—and the rest of them—were under my control. The responsibility is on me. I confess. Haul me away, officers.’”Astrid suddenly felt her throat tightening, although she’d read the letter many times already, and knew what it said. Rotten son of a . . . And then this.Redemption. Not a bad concept.Well, partial redemption.“It’s signed Caine Soren. And below that, ‘King of the FAYZ.’”It was a full confession. A lie: a blatant, not-very-convincing lie. But it would be just enough to make prosecutions very difficult. Caine’s role in the FAYZ, and the reality that strange powers had actually existed in that space, were widely known and accepted.Of course Caine had enjoyed writing it. It was his penultimate act of control. He was manipulating from beyond the grave.
Dan Alatorre|I write in complete silence using only two fingers so I can’t type faster than I edit at the same time, saving me from having to go back. Although it does create a lot of capitalization issues. And punctuation problems. I didn’t say it was a good routine.
Atul Gawande|Medical professionals, not insurance company bureaucrats, should be making health care decisions.
Joyce Carol Oates, Foxfire: Confessions of a Girl Gang|Gangsters live for the action. The closer to death, the nearer to the heated coil of the moment, the more alive they feel. Most would rather succumb to a barrage of bullets from a roomful of sworn enemies than to the debilitation of old age, dying the death of the feeble. A gangster becomes as addicted to the thrill of the battle and the potential to die in the midst of it as he does to he more attractive lures in his path. In his world, the potential for death exists every day. The better gangsters don't shy away from such a dreaded possibility but rather find comfort in its proximity.
Robin York, Deeper|This year I've been figuring out who I am. I've been learning what I want, and it's the same as what I've always wanted, only I'm different. Leaders live and grow and learn. They run into dragons, get burned by them, temper their swords in the fire, and take them on. That's what I want to do. That's who I want to be. Not the girl cowering in her father's office. I want to be fierce.
Jeremy McCarter, Hamilton: The Revolution|On opening night, standing under the Rogers's marquee, [Lin] realized that if Eliza's struggle was the element of Hamilton's story that had inspired him the most, then the show itself was a part of her legacy.
Sunday Adelaja|Our head is designed to develop our intelligence, to devote ourselves to self- education, self -improvement and to broaden our perspective regarding the world around us
Seanan McGuire, Snakes and Ladders|See the flower, how generously it distributes perfume and honey. When it's work is done, it falls away quietly. Try to be like the flower, unassuming despite all it's qualities.
Clive Thompson|But cheating has always been the purview of fairies, and as we are about to enter their domain, we ought to act in accordance with local customs.
A.A. Milne|Sometimes, if you stand on the bottom rail of a bridge and lean over to watch the river slipping slowly away beneath you, you will suddenly know everything there is to be known.
Robin Sloan, Mr. Penumbra's 24-Hour Bookstore|Objectivity, in this sense, means that a person's statements about the world can be trusted if they are submitted to established rules deemed legitimate by a professional community. Facts here are not aspects of the world, but consensually validated statements about it.
Amy Carmichael|He hath never failed thee yet.Never will His love forget.O fret not thyself nor letThy heart be troubled,Neither let it be afraid.
Charles Haddon Spurgeon|The Holy Spirit doesn't need to equip you for what you're not going to do, so if you're in rebellion against Jesus and refusing His right to be Lord, He doesn't need to send the Holy Spirit to equip you for service. And, tragically, you miss out on the joy that He brings. So let the Holy Spirit deal with anything that's keeping you from obeying Christ.
