Gautama Buddha|If you do not change direction, you may end up where you are heading
Terry Pratchett|The people who establish the laws, acts, and regulations already did the tedious work; the rest of the process is just putting the “Credit Acts into Action.” - The Credit Repair Book: The Credit Repair Company's Secret Weapon.
Eda J. Vor, Lay Her Ghosts to Rest|It is perhaps rather fine, after all, being dead. Highly underrated in the modern western world.
ABC|Behind every successful man,there isn't just a woman but a prayerful and hard working woman.If not every married man would be successful
Ally Carter, I'd Tell You I Love You, But Then I'd Have to Kill You|Unusual financial activity: none, unless you count the fact that someone in the family is way too into Civil War biographies. (Can this be a possible indication of Confederate insurgents still living and working in Virginia? Must research further.)
Galileo Galilei|Evolutionarily speaking, love is all about procreation.
Tim Howard|Boxing is individual, although there's a team concept because you need a great corner, you need a great trainer, you need a great prep man, you need all of these things, but it's more of a Mano a Mano; it's more you versus me. I miss that time in training camp and Dad and Mom cooking meals. It was one big family.
Margaret Atwood, Cat's Eye|Healthy surrender means allowing yourself to "be" rather than being in a constant state of want.
Krishna Udayasankar, Kurukshetra|Noble though it may be, our way of life is nothing but servitude. It does not take long for servitude to turn to subjugation.– Shikandin Draupada
Todd Stocker, Refined: Turning Pain Into Purpose|The real heroes anyway aren't the people doing things; the real heroes are the people NOTICING things, paying attention. The guy who invented the smallpox vaccine didn't actually invent anything. He just noticed that people with cowpox didn't get smallpox.
Andy Crouch, Culture Making: Recovering Our Creative Calling|She took his finger and placed a small kiss on the end of it. “You’re just full of surprises, Taggart.” She saw him give her a very pleased male smile.	“Stick around, Darlin’, there’s more to me than meets your eyes.”	“Should I be afraid?
Anne Sexton, Selected Poems|I would start with four fingers of Jack in a thick mug, with a sweating Budweiser back, and by midnight I would be alone at the end of the bar, armed, drunk, and hunched over my glass, morally and psychologically insane.
Louisa  Reid, Black Heart Blue|It's amazing, the increase in grammatical errors in proportion to the level of hatred in the content of hate mail.
Edward Hirsch|Poetry is meant to inspire readers and listeners, to connect them more deeply to themselves even as it links them more fully to others. But many people feel put off by the terms of poetry, its odd vocabulary, its notorious difficulty.
Rick Remender, Tokyo Ghost, Vol. 1: Atomic Garden|When the great sixteenth-century Ottoman architect Sinan would start building a new mosque, he would make sure both the design and the project were in harmony with the city's history and the city's spirit [Jehane Noujaim, "Tahrir Square, Cairo: Lost and Found in the Square"].
William Shakespeare, Hamlet|We've all heard that a million monkeys banging on a million typewriters will eventually reproduce the entire works of Shakespeare. Now, thanks to the Internet, we know this is not true.
Maya Angelou|Each time a woman stands up for herself, without knowing it possibly, without claiming it, she stands up for all women.
Honoré de Balzac, Père Goriot|Was she acting entirely consciously? No: women are always sincere, even in the midst of their most shocking duplicities, because it is always some natural emotion which dominates them. Perhaps, having given this young man such a hold on her, by having openly demonstrated her affection for him, Delphine was merely responding to a sense of personal dignity, which led her either to revoke any concessions she might have made or, at least, to enjoy suspending them. Even at the very moment when passion seizes her, it is perfectly natural for a Parisian woman to delay her final fall, as a way of testing the heart of the man into whose hands she is about to deliver herself and her future!
