John Irving, A Prayer for Owen Meany|Great words, arranged with cunning and artistry, could change the perceived world for some readers
Napoleon Hill, Think and Grow Rich|If one comes to fundamentals then this is the most fundamental thing: the moment you are not, enlightenment is. With emptiness, the matter is settled.
Paul C. Nagel, John Quincy Adams: A Public Life, a Private Life|When John Quincy Adams in the Netherlands was placed with elementary students and belittled because he did not speak Dutch, either the author or John Adams accuses school authorities of "littleness of soul".
Geoffrey O'Brien, Sonata for Jukebox: An Autobiography of My Ears|This theory [the oxygen theory] is not as I have heard it described, that of the French chemists, it is mine (elle est la mienne); it is a property which I claim from my contemporaries and from posterity.
Yul Vazquez|There's one thing about baldness, it's neat.
Vladimir Nabokov, American Fantastic Tales: Terror and the Uncanny from the 1940's Until Now|Standing by the frozen glass, he stared down at the icy, barely lit streets running towards the river Seine, the bell-clanging local church, then to the sky like black lead. ("Israbel")
Frederick E. Owen Jr.|I figure, if the mind just 'has' to be busy,why not make up happy shit?
Ana Claudia Antunes, ONE HUNDRED ONE WORLD ACCOUNTS in ONE HUNDRED ONE WORD COUNT|A brain is like a muscle, a serial connection that you should train everyday; if you don't use it, you loose it
Debasish Mridha|Success in business is important. Success as a human being with values, character, kindness, and love is much more important.
Frank Gehry|My focus had always been the on-side. My coach wanted me to work on the offside strokes since he was convinced of my ability and timing on the leg side. I worked hard and firmed up my defensive technique. I am happy getting runs all around the wicket now, and getting a lot of boundaries. No one calls me a 'leggie batsman' anymore.
Austin Kleon, Steal Like an Artist: 10 Things Nobody Told You About Being Creative|Read good writing, and don’t live in the present. Live in the deep past, with the language of the Koran or the Mabinogion or Mother Goose or Dickens or Dickinson or Baldwin or whatever speaks to you deeply. Literature is not high school and it’s not actually necessary to know what everyone around you is wearing, in terms of style, and being influenced by people who are being published in this very moment is going to make you look just like them, which is probably not a good long-term goal for being yourself or making a meaningful contribution. At any point in history there is a great tide of writers of similar tone, they wash in, they wash out, the strange starfish stay behind, and the conches.
Jason Bateman|It seems like the richer you are, the more chance you have of paying less tax.
Abhijit Naskar, The Education Decree|All the calculus, quantum mechanics and languages in the world are worthless pieces of information, if they are not brought to the service of the society.
A.B. Whelan, Valley of Darkness Part 1 & Part 2|You know, when I was in Paris, seeing Linter for the first time, I was standing at the top of some steps in the courtyard where Linter's place was, and I looked across it and there was a little notice on the wall saying it was forbidden to take photographs of the courtyard without the man's permission. [..] They want to own the light!
Terry Pratchett, Small Gods|Around the Godde there forms a Shelle of prayers and Ceremonies and Buildings and Priestes and Authority, until at Last the Godde Dies. Ande this maye notte be noticed.
Kiersten White, My True Love Gave to Me: Twelve Holiday Stories|I don't leave a note.There's nothing else to do. At first, I'd wanted to write Merry Christmas on the box somewhere, but I decide against it. This isn't about words.It's about glowing lights and small things that are big.
Rockwell Kent|But picketing - picketing for or against something, and handing out literature - these are conspicuously formal actions. They have to be understood as indirect communication.
Jill Conner Browne, The Sweet Potato Queens' Book of Love|Try to avoid getting involved with somebody who's gonna need killing before it's over. It may seem to you that that narrows the field somewhat, but be diligent. 
