Sherilyn Fenn|Today I trust my instinct, I trust myself. Finally.
Alan McCluskey, The Reaches|They stood up and the world was totally different. The wheat was an onyx sea, ever moving in shadow. Above it the heavens were illuminated with the wink of stars and planets, the Milky Way like a giant streak of glimmer slashing across the sky.She was standing right next to him, awed by the beauty of the night sky and their tiny, tiny place in it. It seemed perfectly natural that he leaned down to gently press his lips to her temple. It wasn’t a kiss really, it was a consolation.“Take my hand,” he said.D.J. could see nothing as he unerringly led her through the darkened grain to the edge of the field.
Iain M. Banks, The Player of Games|What, anyway, was he to say? That intelligence could surpass and excel the blind force of evolution, with its emphasis on mutation, struggle and death? That conscious cooperation was more efficient than feral competition?
Robert M. Drake|How could I live above the water or breathe under it. How could I swim in darkness consumed in an ocean of you? Falling or flying towards you, losing or finding myself in you and beauty was never the word to catch all that you are. For now I know the means of the infinite and it all starts and ends with you.
Lundy Bancroft, Why Does He Do That?: Inside the Minds of Angry and Controlling Men|But for a mother who was submissive to the degree my mother was, it was OK to kill girls. For a father like mine, it was normal to chop off his daughters hair with sheep shears, and to beat her with a belt or a cane or tie her up in the stable all night with the cows.
Susan Neiman, Moral Clarity: A Guide for Grown-up Idealists|In the most general terms, the Enlightenment goes back to Plato's belief that truth and beauty and goodness are connected; that truth and beauty, disseminated widely, will sooner or later lead to goodness. (While we're making at effort at truth and goodness, beauty reminds us what we're hold out for.)
C.S. Lewis, Mere Christianity|Remember, we Christians think man lives for ever. Therefore, what really matters is those little marks or twists on the central, inside part of the soul which are going to turn it, in the long run, into a heavenly or a hellish creature.
S. I. Hayakawa|The success or failure of a life, as far as posterity goes, seems to lie in the more or less luck of seizing the right moment of escape.
Lailah Gifty Akita|If we believed in the blessed Saviour, we shall be saved.
Henry Moore|There's no retirement for an artist, it's your way of living so there's no end to it.
Wendy Blight, Hidden Joy in a Dark Corner: The Transforming Power of God's Story|I learned that within the confines of God’s story, nothing had been stolen from me, but rather everything was given to me. My life, which felt so out of control, was in reality in complete control – God’s control.
Diane Moody, Confessions of a Prayer Slacker|My pastor, Pete Wilson, gave a message on prayer, specifically citing this idea many of us have that prayer is a kind of transaction. beside him on the platform, an object the size of a refrigerator stood cloaked beneath a black cover. He said, 'most of us have reduced prayer down to a transaction. A way to manipulate what we want. A vending machine.' At that point, he yanked off the cover revealing a large vending machine, loaded with all kinds of snacks. He inserted some coins and pushed the button for peanut M&Ms (smart man, my pastor). Nothing happened. He hit the machine a couple of times, tried to rock it. Nothing.He continued. 'Most of the time when we go to God, it's because we want something. If we get what we want, we turn and walk off, satisfied. If we don't get what we want, we get frustrated; we kick the machine and blame God for not answering our request.'This 'transaction' view of prayer will always disappoint us because at the root of it, we think it's all about us. but prayer is so much more than giving God a list of our wants and needs or, in some cases, our demands. Prayer is communication. It's talking and listening.
Baratunde R. Thurston|By unspoken agreement, we all picked an invisible line in the cracked asphalt and toed it.
Abhijit Naskar, What is Mind?|Most religious individuals do not conceive God in an anthropomorphic or angry way. Rather, in their personal psychological domain of religious or spiritual beliefs, they conceive God in more abstract, spiritual and merciful way.
Avery Flynn, Enemies on Tap|She stirs things inside me that I don't even know I'm feeling until it's too late. Whenever I'm around her, all I can think about is her, no one else, not even myself.
Zainab T. Khan, A Bucket full of Awesome|You don't know the art of eating ice cream." I mumbled."And what's that?" He said sarcastically."That is, to enjoy every single spoonful, lick it thrice to completely clean it off, then take another spoonful, and so on. You know what's sweet time? That is called sweet time. Next time, do it and enjoy the heavenly taste of it. It will increase its deliciousness by tenfold." I grinned at him.
F. Scott Fitzgerald, The Great Gatsby|No matter where you hide your emotions, a good book brings it out.
Jasleen Kaur Gumber|Oh yes! I have couple-goals too. I love to couple myself with- Books, Coffee and Mountains.
