Nelson Rodrigues|The Human Being, as we imagine it, does not exist.
David Paul Kirkpatrick, The Address Of Happiness|In attitude, faith is "restful", but in action, it is "powerful". Praying in tongues has both a restful and powerful effect upon our lives because it is an active expression of our faith.
Washington Irving|There is a magnet in your heart that will attract true friends. That magnet is unselfishness, thinking of others first; when you learn to live for others, they will live for you.
Anton du Beke|One day, I just wandered into a dance class full of girls, and that was it. I thought, 'Hang on! I'll have a bit of this.' I went back a week later and got dragged up by the teacher. It wasn't a massive calling.
Alan Hollinghurst|Nate and Jared were watching me as they undressed. Clothed, they were sexy as hell. Naked, I wanted to lick every inch of their bodies. Nick, still standing in front of me, removed his shirt and tossed it on the floor next to the chair. Next came his jeans and underwear. Any anger I felt over being tied to the chair disappeared.
Anna Godbersen, The Luxe|Clichés, stock phrases, adherence to conventional, standardized codes of expression and conduct have the socially recognized function of protecting us against reality, that is, against the claim on our thinking attention that all events and facts make by virtue of their existence.
Olan Rogers|Most people who do a lot of exercise, particularly in the form of competitive athletics, have unneurotic, extraverted, optimistic personalities to begin with. (Marathon runners are exceptions to this.)
Kilroy J. Oldster, Dead Toad Scrolls|Half hating, half loving, this free time between writing books.
Leo Tolstoy, Anna Karenina|Then he thought himself unhappy, but happiness was all in the future; now he felt that the best happiness was already in the past.
Soroosh Shahrivar, The Rise of Shams|His transcendent sense of worth had risen and caught up to him. He did not like the world he lived in, and the people in it. He was just as much a victim as he was a culprit of the seven deadly sins.
Alan Lightman, Einstein's Dreams|It does help to actually realize that however stunning the person who is, you know, fluttering eyelashes at you, she doesn't do anything to match up to your wife.
Paulo Coelho, By the River Piedra I Sat Down and Wept|I don't believe in miracles, but if the need is great, a girl might make her own miracle.
Lynn Austin, Waves of Mercy|Gold is found in the deep rough soil, so go for gold
Markus Zusak, Fighting Ruben Wolfe|My own sense is that the acquisition of self knowledge has been made difficult by the modern world. More and more human beings live in vast urban environments, surrounded by other human beings and the creations of human beings. The natural world, the traditional source of self-awareness, is increasingly absent.
James Madison|Where we see the same faults followed regularly by the same misfortunes, we may reasonably think that if we could have known the first we might have avoided the others.
Sara  Miles, Take This Bread: A Radical Conversion|I choose not to believe in any gods as an act of charity,” Marcus said. “Charity toward whom?” “Toward the gods. Seems rude to think they couldn’t make a world better than this,
Faith Sullivan, Come What May|With you, there's always music.
Henry Miller, The Time of the Assassins:  a Study of Rimbaud|He saw that science had become as great a hoax as religion, that nationalism was a farce, patriotism a fraud, education a form of leprosy, and that morals were for cannibals
Haruki Murakami, The Wind-Up Bird Chronicle|You will remember this when all else fades, this moment, here, together, by this well. There will be certain days, and certain nights, you’ll feel my presence near you, hear my voice. You’ll think you have imagined it and yet, inside you, you will catch an answering cry. On April evenings, when the rain has ceased, your heart will shake, you’ll weep for nothing, pine for what’s not there. For you, this life will never be enough, there will forever be an emptiness, where once the god was all in all in you.
Catherine Doyle, Inferno|Maybe you’re not so bad after all.’He leant across the seat, jabbing his finger in the air. ‘If you tell anyone, I’ll deny it. I have a reputation to uphold, you know.
Lionel Suggs|Lying in bed, half-covered by the blankets, I would drowsily ask why he had come to my door that night long ago. It had become a ritual for us, as it does for all lovers: where, when, why? remember...I understand even old people rehearse their private religion of how they first loved, most guarded of secrets. And he would answer, sleep blurring his words, "Because I had to." The question and the answer were always the same. Why? Because I had to.
