Ivan Goncharov, Oblomov|In the bitter waves of woe, Beaten and tossed about By the sullen winds that blow From the desolate shores of doubt,­­ When the anchors that faith had cast Are dragging in the gale, I am quietly holding fast To the things that cannot fail: In the darkest night of the year,  When the stars have all gone out,  That courage is better than fear,  That faith is truer than doubt; And fierce though the fiends may fight,  And long though the angels hide, I know that Truth and Right Have the universe on their side; And somewhere, beyond the stars, Is a Love that is better than fate; When the night unlocks her bars I shall see Him, and I will wait
Dean Koontz, Brother Odd|Living in a monastery, even as a guest rather than a monk, you have more opportunities than you might have elsewhere to see the world as it is, instead of through the shadow that you cast upon it.
Faith Hill|The fact is, we need markers in life, whether we subscribe to a religion or not. And the major holidays, such as Christmas, serve to remind us of the turning world.
Israelmore Ayivor, The Great Hand Book of Quotes|You can't be successful if you are good at hiding yourself! Be success minded; think about uncovering what you know, what you have, and what you have to know for the comfort, inspiration and enlightenment of others!
Tony Hawk|I got stuck up a tree when I was about seven, and my dad had to come and get the ladder to get me down. I loved to climb all the way up to the top. I must have been a koala in my past life.
Michael Moore|Oprah's got good politics, she's got a good heart, and she'll have us all up Jazzercising at six in the morning. This cannot be a bad thing, and reading a book while we're Jazzercising. So America would be better off if Oprah were president.
George Orwell|Good novels are not written by orthodoxy-sniffers, nor by people who are conscience-stricken about their own orthodoxy. Good novels are written by people who are not frightened.
April WIlliams, What You Should Know About Network Marketing Before Investing Your Time, Energy and Money|How do you defend against a person who is ready to die? How do you defend against a person who don’t fear being sent to prison for life? How do you defend against a person who has nothing to lose? It’s like trying to defend against a suicide bomber, who has no problem going out in a glorified bang.Suicide bomber, assisted death, nothing-to-lose, not afraid, fearless, criminal mindset, thug life, mental disease, suicidal, mental challenges, death march, How do you defend against a person who is ready to die? How do you defend against a person who don’t fear being sent to prison for life? How do you defend against a person who has nothing to lose? It’s like trying to defend against a suicide bomber, who has no problem going out in a glorified bang.
Kristen Ashley, Creed|Let nothing disturb you, nothing frighten you, all things are passing, God is unchanging. Patience gains all; nothing is lacking to those who have God: God alone is sufficient.
Jack Gilbert|People need dreams, there's as much nourishment in 'em as food.
Erick Kästner|It is a quintessential example of the whirling kinetics that drive a Keaton film, in which not just the medium but the human body- the permutations of the sinews, the shock of the limbs -seems infinitely elastic, an unruly instument to be wilded with a cheeky kind of grace.
Coco Chanel|Obviously, there is much similarity among the challenges of transgender people and all women - from health care to harassment to discrimination in the workplace.
Philippe Lechermeier, The Secret Lives of Princesses|I grew up a dreamer, lonely, one foot on the earth, the other on the moon.
Mehmet Murat ildan|The pond is clear, but it isn't this beyond the sea blue and has never been. The sky is blue, but it isn't this strikingly bright and vivid nor has it ever been. But together, and in each other's company, they are more beautiful than they could ever have been alone...
Barbara W. Tuchman|Books are ... companions, teachers, magicians, bankers of the treasures of mind. Books are humanity in print.
Danielle-Claude Ngontang Mba, This Could Have Been Our Song! A Coulda Woulda Shoulda Ballad|If the worst you can say about an otherwise sweet-natured and pleasant romance novel is that the main characters are just too wholesome to suit you and your bitter, bitter, cat-infested, 7-years-friendless-and-romantically-barren life, you should probably just eat a fucking cupcake and settle in to wait for El Señor to take you away from this place on the wings of angels who all bear a marked resemblance to a young Rob Lowe.
V. Alexander|Tonight I’ve been dealing with a known killer, a male whore, a scam artist and now I’ve graduated to talking to a mayor. Who’s next? The President of the National Association of Rodents?
Jenna Lindsey, Quest For Evil: The Magic Of The Key|You are not judged by your success, but rather, how you respond to your failures.
Zayn Malik|No matter how many times people try to criticize you, the best revenge is to prove them wrong.
