Victoria Kahler, Luisa Across the Bay|Through the veil of Love, one finds the heaven on Earth
Samantha Chase, Always My Girl|I just discovered something, Mads." Ronan curled his arm over her shoulders and pulled her against him. "There's only one thing I enjoy more than surprising you.""What's that?" She snuggled into his embrace and rested her head on his chest....Ronan kissed the top of her head and murmured, "When you surprise me.
Melody  Lee, Moon Gypsy|She's a dark-eyed, red flame, bohemian hurricane.
Dawn Gluskin|If {Death} comes for you?” he said. “Would you be so sanguine then?”	She laughed and the pensiveness was gone. “No indeed. I will curse the stars and go down fighting. But it will still have been a wonderful thing, to cross the mist.
Ryan Lilly|Dinner was wonderful. There was a joint of beef, with roast potatoes, golden-crisp on the outside and soft and white inside, buttered greens I did not recognize, although I think now that they might have been nettles, toasted carrots all blackened and sweet (I did not think that I liked cooked carrots, so I nearly did not eat one but I was brave, and I tried it, and I liked it, and was disappointed in boiled carrots for the rest of my childhood.) For dessert there was the pie, stuffed with apples and with swollen raisins and crushed nuts, all topped with a thick yellow custard, creamier and richer than anything I had ever tasted at school or at home. The kitten slept on a cushion beside the fire, until the end of the meal, when it joined a fog-colored house cat four times its size in a meal of scraps of meat.
Innocent Mwatsikesimbe, Mirror|Elizabeth had amnesia and her defenses were down. Bruce had tried to take advantage of her – what guy wouldn’t? Unfortunately, she got her memory back just in time, ran right out of his house, and wrecked his plans for the evening.
C. JoyBell C.|Some people come and go and are forgotten. But there are other people who share a part in our destinies. They come, they go, but they are never forgotten. They come, they go, but even after they go... they're still here. They never really went anywhere.
Graeme    Smith|In his mind progress was always to be measured in inches, especially when you didn’t have yards or even feet of success to show off.
E.A. Bucchianeri, Phantom Phantasia: Poetry for the Phantom of the Opera Phan|The moon has a face like the clock in the hall;She shines on thieves on the garden wall,On streets and fields and harbour quays,And birdies asleep in the forks of the trees.
Nenia Campbell, Wishing Stars: Space Opera Fairytales|Since nothing is free, to each his price.
Mario Vargas Llosa|If anyone makes you feel less than you are, for the color of you skin, for where you come from, for the gender of the person you love, for the religion you have faith in, stand up, speak up, roar. No silence till we are equal.
James Dyson|To be able to design for the plus-sized consumer, for me, that's just beyond. It's a dream.
Lisa Genova, Still Alice|I don't think each of us receives one harvest only--an after-death sort of payment for services rendered. I think we all get a lifetime full of little harvests--those small miracles that stand out from the rest of life, when we are one with nature, each other, and ourselves.
Gustave Flaubert, Correspondance|Dividing earth and skyis not the right wayto think about this wholeness.It only allows one to liveat a more precise address--were I to be searched forI'd be found much faster.My distinguishing marksare rapture and despair.From 'Sky', in the collection 'Miracle Fair
Blayne Cooper, The Story of Me|The Bloody-Nine opened his mouth, and shrieked out all of his bottomless love and his endless hate in one long wail.
Eli  Hinze, No Angels|Tonight she was just plain Liz, nobody extraordinary, paranormal, or otherwise.Tomorrow, that would change.
J.K. Rowling, Harry Potter and the Sorcerer's Stone|Now it seems like no matter what I decide, I'll be betraying someone.
George R.R. Martin, A Game of Thrones|I had every reason to quit, but you were the reason I wanted it all again.
Billy Graham, Billy Graham in Quotes|[God] knows that an uncontrolled life is an unhappy life, so He puts reins on our wayward souls that they may be directed into the “paths of righteousness.
C.L. Wilson, Lord of the Fading Lands|My beloved is the sunAnd I am the earth that thrives only in her warmth. My beloved is the rainAnd I am the grass that thirsts for her quenching kiss. My beloved is the windAnd I am the wings that soar when she fills me with her gentle strength.My beloved is the rockUpon which rests the happiness of all my days.—The Elements of Love, a poem by Aileron v'En Kavali of the Fey
