Emily Brontë, Wuthering Heights|Unrequited love is a ridiculous state, and it makes those in it behave ridiculously.
Robert G. Ingersoll, The Liberty of Man, Woman and Child|I do not see how it is possible for a man to die worth fifty million of dollars, or ten million of dollars, in a city full of want, when he meets almost every day the withered hand of beggary and the white lips of famine. How a man can withstand all that, and hold in the clutch of his greed twenty or thirty million of dollars, is past my comprehension. I do not see how he can do it. I should not think he could do it any more than he could keep a pile of lumber on the beach, where hundreds and thousands of men were drowning in the sea.
Ashmita Acharya, The Beginning: The Tears of My Heart|Some feel lucky, if they haven't got to be happy, as they don’t like their frame of mind to be unravelled and prefer to be left well enough alone. ( "C’est quand le bonheur ?" )
Albert Einstein, Ideas and Opinions|Gandhi, the greatest political genius of our time, has pointed the way. He was shown of what sacrifices people are capable once they have found the right way. His work for the liberation of India is a living testimony to the fact that a will governed by firm conviction is stronger than a seemingly invincible material power.
M.R. Carey, The Girl with All the Gifts|And one of the reasons why he likes her is because she’s so different from him. She’s as big as four-fifths of five-eighths of fuck all, but she takes no bullshit from anyone. She even talks back to the Sarge, which is like watching a mouse bark at a pitbull.
Cassandra Clare, Lady Midnight|There was beauty in the idea of freedom, but it was an illusion. Every human heart was chained by love.
Marta Mrotek, Miracle in Progress: A Handbook for Holistic Recovery|Such is the strange situation in which modern philosophy finds itself. No former age was ever in such a favourable position with regard to the sources of our knowledge of human nature. Psychology, ethnology, anthropology, and history have amassed an astoundingly rich and constantly increasing body of facts. Our technical instruments for observation and experimentation have been immensely improved, and our analyses have become sharper and more penetrating. We appear, nonetheless, not yet to have found a method for the mastery and organization of this material. When compared with our own abundance the past may seem very poor. But our wealth of facts is not necessarily a wealth of thoughts. Unless we succeed in finding a clue of Ariadne to lead us out of this labyrinth, we can have no real insight into the general character of human culture; we shall remain lost in a mass of disconnected and disintegrated data which seem to lack all conceptual unity.
Elizabeth Schechter, Heart's Master|I pulled on the restraints, frustrated, hurting, and completely devastated. I could feel tears sliding down my skin, into my ears, and back over my scalp. Which told me that they’d cut off my hair, too. For some reason, that little bit of vanity was what it took to undo me completely.
Billy Graham, Billy Graham in Quotes|Sometimes . . . we grow homesick for heaven. Many times in the midst of the sin, suffering, and sorrow of this life there is a tug at our soul. That is homesickness coupled with anticipation.
Bangambiki Habyarimana, Pearls Of Eternity|Words disappear in the air, but writing remains. If you want something to be remembered about you, write it down
Joseph O'Connor, Star of the Sea|...but as his father used to say when he had a few drinks taken, you couldn't expect bloody miracles when you were talking about God.
Aaron B. Powell, Quixotic|You’re noble enough, Baudelaires. That’s all we can ask for in this world.
Aditi Dufare, The Mysterious Night|People love to do such things, attempting to degrade other individuals for their mistakes to fulfill their inner will in order to feel more noteworthy.
Kobe Bryant|What has kept the world safe from the bomb since 1945 has not been deterrence, in the sense of fear of specific weapons, so much as it's been memory. The memory of what happened at Hiroshima.
Dean Young, Elegy On Toy Piano|When you are 70% sure, act /because the other 30% is reserved for hope /which is doubt turned upside-down.
Jessica Riskin, The Restless Clock: A History of the Centuries-Long Argument Over What Makes Living Things Tick|What was it like to live amidst such machines, to be familiar with them, to have them shape one's earliest intuitions about machinery: how it works, what it does, how it compares to living creatures?
Amy Reed, Clean|I don’t feel great, but I also don’t feel terrible, either, and I guess that’s how normal people feel most of the time. They live in the space between black and white, and their ups and downs are various shades of gray, not the extreme highs and lows I’ve always thought of as normal. I think that’s one of the major differences between us and them, between addicts and Normies. Somewhere along the line we got stuck on this roller coaster that only knows how to go to the highest up and the lowest low. We get high so we can feel invincible and perfect, but the feeling never lasts. Gravity always wins, and we fall fast, to a place lower and darker than many people will probably ever know. And the crazy thing is that this is just normal for us. We cycle through these extremes all the time, and it’s become as natural as breathing. Exhausting, but natural.
