Ruth Rendell|I think to be driven to want to kill must be such a terrible burden".
Nia Vardalos|I was in a fertility situation publicly, so I disappeared. I was very satisfied just being to able to creatively express myself with writing. The white hot publicity that came from 'My Big Fat Greek Wedding' was appreciated but not sought, so I was happy to walk away from it and then write.
Teresa R. Funke, Bursts of Brilliance for a Creative Life blog|Spend one more day in pursuit of art that only you can produce, and somewhere, someone is envying your courage to do just that.
Alena Graedon, The Word Exchange|People become so obsessed with the future, they make it up.
Kirk Cameron|There should be weeping at a man's birth, not at his death.
Michael Alexander, Beowulf|Ten thousand men possess ten thousand hopes. A few bear fruit in happiness; the others go awry. But he who garners day by day the good life, he is happiest.
Matshona Dhliwayo|Dear fear, I’m divorcing you. Dear courage, I’m courting you. Dear hope, I’m pursuing you. Dear love, I’m marrying you.
Ashish Patel|Some people seem to have a black belt in selfishness... ninja narcissists with no regard to how they impact those around them… but at the same time, a master at the art of playing victim.
Jimmy Fallon|Anyone who's a chef, who loves food, ultimately knows that all that matters is: 'Is it good? Does it give pleasure?'
Jennifer McMahon|The primary source of the appeal of Christianity was Jesus - His incarnation, His life, His crucifixion, and His resurrection.
David Wolfe, Longevity Now: A Comprehensive Approach to Healthy Hormones, Detoxification, Super Immunity, Reversing Calcification, and Total Rejuvenation|Smoking’s banned in my house. Cigarettes harm your body,” he said, knocking back half of the bottle of beer.
Marquis de Sade|Imagination, the supreme delight of the immortal and the immature, should be limited. In order to enjoy life, we should not enjoy it too much.
Levi Woodbury|In any community there's a strong pull home. People want to return, see their community get better economically and socially. You can build those community-grown opportunities for the kids who've graduated from college to return home, to provide businesses and support things going on. It'll only happen through education.
Sarah Ruhl, The Oldest Boy: A Play in Three Ceremonies|Every day as I wave to my children when I drop them off at school, or let one of them have a new experience—like crossing the street without holding my hand—I experience the struggle between love and non-attachment. It is hard to bear—the extreme love of one’s child and the thought that ultimately the child belongs to the world. There is this horrible design flaw—children are supposed to grow up and away from you; and one of you will die first.
Jimbo J. Antipolo|How wonderful it must be, to be unable to remember things that once caused us distress. Yet we should embrace all our memories, whether joyful or painful. They're all we ever really own in this life.
John Donne, Devotions Upon Emergent Occasions|We say that the world is made of sea and land, as though they were equal; but we know that there is more sea in the Western than in the Eastern hemisphere. We say that the firmament is full of stars, as though it were equally full; but we know that there are more stars under the Northern than the Southern pole. We say the element of man are misery and happiness, as though he had an equal proportion of both, and the days of man vicissitudinary, as though he had as many good days as ill, and that he lived under a perpetual equinoctial, night and day equal, good and ill fortune in the same measure. But it is far from that; he drinks in misery, and he tastes happiness; he journeys in misery, he does but walk in happiness: and, which is worstn his misery is positive and dogmatical, his happiness is but disputable and problematical: all men call misery misery, but happiness changes the name by the taste of man.
Shahida Arabi|When you notice someone does something toxic the first time, don't wait for the second time before you address it or cut them off. Many survivors are used to the "wait and see" tactic which only leaves them vulnerable to a second attack. As your boundaries get stronger, the wait time gets shorter. You never have justify your intuition.
John A. Widtsoe, Rational Theology|Man must learn to know the universe precisely as it is, or he cannot successfully find his place in it. A man should therefore use his reasoning faculty in all matters involving truth, and especially as concerning his religion. He must learn to distinguish between truth and error.
