Michael Pollan, The Omnivore's Dilemma: A Natural History of Four Meals|a man who was, as we say in the restaurant business, one taco short of a combo platter.
Teresa of Ávila|A graduation ceremony is an event where the commencement speaker tells thousands of students dressed in identical caps and gowns that "individuality" is the key to success.
Aldo Leopold, A Sand County Almanac with Essays on Conservation from Round River|Acts of creation are ordinarily reserved for gods and poets, but humbler folk may circumvent this restriction if they know how.
Cassandra Clare, The Fall of the Hotel Dumort|People always ask me how long it takes to do my hair. I don’t know, I’m never there.
Fernando González y Lozano|I knew the point wasn’t the victory, but pulling yourself together and crawling your way back. That was life.
Marianne Moore, Complete Poems|Wolf's wool is the best wool, but it cannot be sheared, because the wolf will not comply. With knowledge as with wolves' surliness, the student studies voluntarily, refusing to be less than individual. He "gives his opinion and then rests upon it"; he renders service when there is no reward, and is too reclusive for some things to seem to touch him; not because he has no feeling but because he has so much.
Thomas Pynchon, Vineland|He knew I betrayed him and yet he was rescuing me once again, maybe for the last time.
Stephen King, The Gunslinger|Shall there be truth between us, as two men? Not as friends, but as enemies and equals?
Richelle E. Goodrich, Smile Anyway|You matter.You are important.There is a reason for your existence.You may not see or understand how this is true, but truth doesn't cease to be truth because of doubt, blindness, or ignor
Liz Kessler, Read Me Like a Book|The hardest thing about talking to teenagers, I had discovered, was that whatever you said inevitably came across like something an elderly aunt would say at a wedding.
Pierce Brown, Golden Son|How, exactly, did I kill him? He died on the golf course.” One minute he’d been practicing his swing, and in the next—phzzt—a freak lightning bolt had hit him right in the nine iron. His shoes were still smoking when she reached him.
Brené Brown, Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead|In games, he feels that he is "creating something new." But this is creation where someone has already been. It is not creation but the FEELING of creation. These are feelings of accomplishment on a time scale and with a certainty that the real world cannot provide.
Arthur Rimbaud|On the blue summer evenings, I will go along the paths,And walk over the short grass, as I am pricked by the wheat:Daydreaming I will feel the coolness on my feet.I will let the wind bathe my bare head. I will not speak,I will have no thoughts: But infinite love will mount in my soul;And I will go far, far off, like a gypsy,through the countryside - as happy as if I were a woman. "Sensation
Henry Beston, The Outermost House: A Year of Life On The Great Beach of Cape Cod|The world to-day is sick to its thin blood for lack of elemental things, for fire before the hands, for water welling from the earth, for air, for the dear earth itself underfoot. In my world of beach and dunes these elemental presences lived and had their being, and under their arch there moved an incomparable pageant of nature and the year.
Martin Luther King Jr.|Any titles, money, or privilege you inherit are actually hindrances. They delude you into believing you are owed respect.
|True winners remain winners because they truly believe that challenges, struggles, and obstacles can all lead to big blessings through persistence and perseverance.
Scott Donaldson, Fool for Love: F. Scott Fitzgerald|[The critic] serves up his erudition in strong doses; he pours out all the knowledge he got up the day before in some library or other, and treats in heathenish fashion people at whose feet he ought to sit, and the most ignorant of whom could give points to much wiser men than he.Authors bear this sort of thing with a magnanimity and a patience that are really incomprehensible. For, after all, who are those critics, who with their trenchant tone, their dicta, might be supposed sons of the gods? They are simply fellows who were at college with us, and who have turned their studies to less account, since they have not produced anything, and can do no more than soil and spoil the works of others, like true stymphalid vampires.
Emmuska Orczy, I Will Repay|Is it love to worship a saint in heaven, whom you dare not touch, who hovers above you like a cloud, which floats away from you even as you gaze? To love is to feel one being in the world at one with us, our equal in sin as well as in virtue. To love, for us men, is to clasp one woman with our arms, feeling that she lives and breathes just as we do, suffers as we do, thinks with us, loves with us, and, above all, sins with us. Your mock saint who stands in a niche is not a woman if she have not suffered, still less a woman if she have not sinned. Fall at the feet of your idol an you wish, but drag her down to your level after that- the only level she should ever reach, that of your heart.
