Thomas Mann|Walk tall, or baby don't walk at all.
Joyce Meyer|When you become a Christian, something truly amazing happens: God comes to live inside your heart. You become the home of God.
Daniel Waterman|I laughed it off but I close the bedroom door and I lose it and I stick it all down here and this is where it all stays. And this is where it has to stay because I am not ending up in the nutter ward again with brown walls, jigsaws, and people crying that their husbands left them, and men slamming their heads against walls, and Mum bringing me a mini trifle and a copy of Smash Hits like that would make everything better. It didn’t. It won’t. It can’t. Psychiatric wards when most of my mates were….I can’t tell anyone what is going on…Can’t write…Can’t think about it.Not even here.
F. Scott Fitzgerald, The Great Gatsby|It was the hour of a profound human change, and excitement was generating on the air.
Zhuangzi, The Complete Works of Chuang Tzu|I've heard my teacher say, where there are machines, there are bound to be machine worries; where there are machine worries, there are bound to be machine hearts. With a machine heart in your breast, you've spoiled what was pure and simple; and without the pure and simple, the life of the spirit knows no rest.
Vincent Van Gogh|I don't stand for the black man's side, I don' t stand for the white man's side. I stand for God's side.
Chief Seattle|Unity despite diversity is exactly what defines Christianity as distinct from and antithetical to all other religious belief systems". ~R. Alan Woods [2006]
Pittacus Lore, The Rise of Nine|I don't know why I still feel this pit in my stomach whenever I get a moment to think. I know what the pit is, too; I feel lonely. But I'm not alone, I keep telling myself.
Mark Twain|God removes the sin of the one who makes humble confession, and thereby the devil loses the sovereignty he had gained over the human heart.
Markus Zusak, The Book Thief|July 24, 6:03 A.M.The laundry was warm and the rafters were firm, and Michael Holzapfel jumped from the chair as if it were a cliff...Michael Holzapfel knew what he was doing. He killed himself for wanting to live.
Etta James|We need to take music out of the ivory tower - both for musicians and for the public. Otherwise, classical music will not survive the 21st century.
Alexandar Tomov|I went mad before he did, you killed everything in me. Kiss me,will you. Stop defending yourself.
Peter Guthrie Tait|Nernst was a great admirer of Shakespeare, and it is said that in a conference concerned with naming units after appropriate persons, he proposed that the unit of rate of liquid flow should be called the falstaff.
Lauren Oliver, Before I Fall|The details that are life's special pattern, like how in handwoven rugs what really makes them unique are the tiny flaws in the stitching, little gaps and jumps and stutters that can never be reproduced. so many things become beautiful when you really look.
Vera Nazarian, The Perpetual Calendar of Inspiration|Why is wisdom so fair? Why is beauty so wise?Because all else is temporary, while beauty and wisdom are the only real and constant aspects of truth that can be perceived by human means.And I don't mean the kind of surface beauty that fades with age, or the sort of shallow wisdom that gets lost in platitudes. is before you.True wisdom then steps in, to interpret, illuminate, and form a life-altering insight.
Thomas Ligotti, The Conspiracy Against the Human Race|When the truth is known, all descriptions cease, and silence alone remains. #Yoga Vasistha
Neil Gaiman, Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch|25 And the Lord spake unto the Angel that guarded the eastern gate, saying 'Where is the flaming sword that was given unto thee?'26 And the Angel said, 'I had it here only a moment ago, I must have put it down some where, forget my own head next.'27 And the Lord did not ask him again.
Cameron Trost|Darnell had received what is called a sound commercial education, and would therefore have found very great difficulty in putting into articulate speech any thought that was worth thinking;
James Jean-Pierre|I stood in the isle thinking about my future, while the man next to me complained, but when I asked him what his dream was he never answered.
Lauren Magaziner, Pilfer Academy: A School So Bad It's Criminal|He turned to face the long, shadowy hall. There was no turning back now. Unless, of course, he decided to turn back.
Robert  Black|If your organization is not formally committed to a policy of nondiscrimination based on sexual orientation, gender identity, and gender expression or gender presentation in its employment practices, you should not expect lesbian,gay, bisexual, transgender, gender-nonconforming, queer, and/or questioning patients and families to feel safe seeking out your services.
Scott Hastie|Ultimately not one amongst usWill ever be denied that,The glimmer of a chance to shine.
Marisha Pessl, Special Topics in Calamity Physics|I kept it to remind me that although there is evil, there is sometimes beauty and light. You, Jillian. You were always my light.
