Jonathan L. Walls|Not only does evil depend upon good, but in this case, darkness depends upon light.
H.G. Wells|My pockets had always puzzled Weena, but at the last she had concluded that they were an eccentric kind of vase for floral decoration.
Jim Davis|There's only one thing to do in crisis like this - SLEEP ON IT!Garfield, the cat.
Craig D. Lounsbrough|The Fuhrer himself was the target of the fourth leaflet: "Every word that comes from Hitler's mouth is a lie. When he says peace, he means war, and when he blasphemously uses the name of the Almighty, he means the power of evil, the fallen angel, Satan. His mouth is the foul-smelling maw of Hell, and his might is at bottom accursed." This leaflet ended with the words "We will not be silent. We are your bad conscience. The White Rose will not leave you in peace.
Martha Graham|I never set out to create a technique. I started out on the floor to find myself, to find what the body could do, and what would give me satisfaction - emotionally, dramatically and bodily. But I did not ever dream of establishing a technique. I still can't believe anything like that happened.
Steve Maraboli|For me, the most interesting people seem to have the bumpiest pasts. I prefer to connect with someone who has experienced the struggles, battles, and casualties of life’s journey. There is beauty, wisdom, and truth to be found in the scars.
Carol Berg, Transformation|From the instant of our first meeting I judged him so, though it could be said that I was prejudiced. When one is standing naked on a slave-auction block in a wind cold enough to freeze a demon's backside, one is unlikely to have a fair impression of anyone.
M.F. Moonzajer|There will always be a moment to feel sorry for the mistakes, but indeed it is not today.
Jim Leach|I believe people who go into politics want to do the right thing. And then they hit a big wall of re-election and the pettiness of politics. In the end, politics gets in the way of the business of people.
Anne Tyler, The Writer on Her Work|Be an unstoppable force. Write with an imaginary machete strapped to your thigh. This is not wishy-washy, polite, drinking-tea-with-your-pinkie-sticking-out stuff. It's who you want to be, your most powerful self. Write your books. Finish them, then make them better. Find the way. No one will make this dream come true for you but you.
Robyn Carr, Temptation Ridge|This is the greatest consolation in life. In poetically well-built museums, formed from the heart's compulsions, we are consoled not by finding in them old objects that we love, but by losing all sense of Time.
Vikrmn, Guru with Guitar|Power of dreams is not measured by the frequency of dreaming, but by speed of actions to make them come true.
Lucy H. Pearce, Burning Woman|We dare not talk of the darkness for fear it will infect us.We dare not talk of the fire, for fear it will destroy us.And so we live in the half-light, Like our mothers before us.Come to the fire, Feel it warm your skin.Come to the fire,Feel it burn in your belly,Shine out through your eyes.Come dance in the fire, Let it fuel your prayers.
David Levithan|Writing, it's Feeling. spontaneous urges touching upon each of the senses the moment the pen magnetises into fingertips spilling out currents of words in panicked ink splatters, unmanaged, unfiltered & channeled.wept out, breath subtle,surrounded by empty sound. static brush,while wrist sweeps across lanes,crossing lines, giving in,its desperation, its surrender,where its heading,where its been.
Scott Stabile|You were born beautiful, and you remain beautiful.
Tanu Reshma B Singh|Build your life in self-controlpurity, moderation in food and drink, and obedience to the will Divine. and you will have built well !!!!
|I love the life I am living, not because it's close to a perfect journey, but because loving my life unconditionally is the only way i can continuously enjoy it.
Sam Kean, The Disappearing Spoon: And Other True Tales of Madness, Love, and the History of the World from the Periodic Table of the Elements|Today alpha equals 1/137.0359 or so. Regardless, its value makes the periodic table possible. It allows atoms to exist and also allows them to react with sufficient vigor to form compounds, since electrons neither roam too freely from their nuclei nor cling too closely. This just-right balance has led many scientists to conclude that the universe couldn’t have hit upon its fine structure constant by accident.
