Alex Hirsch, Gravity Falls: Journal 3|Life is totally unbelievable. Enjoy it at its fullest, with no regrets.
Trini Lopez|You don't know how many celebrities I've gone into recording sessions with who first are kind of weirded out by us freaky voiceover people, then when the day is over, they want to stay. They haven't had that much fun acting in ages. It's hard to have any attitude about it.
Toni Sorenson, The Great Brain Cleanse|Scrub your brain of any thoughts that don’t serve you, and to fill your mind with fresh, clean thinking that instills confidence, commitment, and ultimate success.
Lev Shestov, Athens and Jerusalem|Repudiating the virtues of your world, criminals hopelessly agree to organize a forbidden universe. They agree to live in it. The air there is nauseating: they can breathe it.
Paul A. Cohen, Discovering History in China: American Historical Writing on the Recent Chinese Past|As historians, our aim is to do our utmost to understand and elucidate past reality. At the same time, in pursuit of this goal, we must use ordering concepts that by definition inevitably introduce an element of distortion. I believe that our task as historians is to choose concepts that combine a maximum of explanatory power with a minimum of distortional effect.
Stephen R. Lawhead, Byzantium|Oh, but once my memories had pulsed with the blood-heat of life. In desperation, I forced myself to recall that once, I had walked with kings and conversed in languages never heard in this land. Once I had stood at the prow of a Sea Wolf ship and sailed oceans unknown to seamen here. I had ridden horses through desert lands, and dined on exotic foods in Arab tents. I had roamed Constantinople’s fabled streets, and bowed before the Holy Roman Emperor’s throne. I had been a slave, a spy, a sailor. Advisor and confidant of lords, I had served Arabs, Byzantines, and barbarians. I had worn captive’s rags, and the silken robes of a Sarazen prince. Once I had held a jeweled knife and taken a life with my own hand. Yes, and once I had held a loving woman in my arms and kissed her warm and willing lips...Death would have been far, far better than the gnawing, aching emptiness that was now my life.
Pallam Raju|No state of society or laws can render men so much alike but that education, fortune, and tastes will interpose some differences between them; and though different men may sometimes find it their interest to combine for the same purposes, they will never make it their pleasure.
Marilynne Robinson, Lila|In that eternity of his, where everybody will be happy, how could he feel the lack of her, the loss of her?
Tahnee Fritz, The Human Race|Malicious or not, strong leaders always attracted followers
Pierce Brown, Morning Star|s father's words. But they are as empty on his lips as they feel in my ears. This was has taken everything from him. I see in his eyes how broken he is. how terribly hard he is trying to be his father's son. If he could, he would choose to be back by the campfire we made in the highlands of the Institute. He would return to the days of glory when life was simple, when friends seemed true. But wishing for the past doesn't clean the blood from either of our hands.
Lisa Kleypas, Seduce Me at Sunrise|I love you, he thought, looking at Win. I love every part of you, every thought and word... the entire complex, fascinating bundle of all the things you are. I want you with ten different kinds of need at once. I love all the seasons of you, the way you are now, the thought of how much more beautiful you'll be in the decades to come. I love you for being the answer to every question my heart could ask.And it seemed so easy, once he capitulated. It seemed natural and right.Kev wasn't certain if he was surrendering to Win or to his own passion for her. Only that there was no more holding back. He would take her. And he would give her everything he had, every part of his soul, even the broken pieces.
Jill Smokler, Motherhood Comes Naturally|Fatigue is an excellent gauge of well-being because it is a very hard symptom to mask. The only way to get rid of fatigue is to treat the underlying causes. Fatigue has many faces, but they all say the same thing - the mental and physical load are too great.
Sam Thomas Davies, Unhooked: How to Break Bad Habits and Form Good Ones That Stick|You don't set out to build a wall. You don't say: 'I'm going to build the biggest, baddest, greatest wall that's ever been built.' You say, "I'm going to lay this brick as perfectly as a brick can be laid. You do that every single day. And soon you have the greatest wall that's ever been built." - Will Smith
Atticus Shaffer|A lot of the time with child actors, you get the feeling they're trying to have a kind of poise or presentation that's beyond their years that might be put on, but also might be because they've spent years just hanging out with adults and they don't even have a sense of what it's like to grow up with kids their own age.
C.S. Friedman, The Madness Season|All about us were people. Perhaps a hundred. Men. Experience had taught me that humans were cruelest when segregated by sex, and the cold feeling in the pit of my stomach became led. What had I let myself in for?
