Darnell Dockett|My fans are definitely my shareholders, and I'm extremely thankful for them.
Kilroy J. Oldster, Dead Toad Scrolls|The cern paled, and all the courageous which accompanied him into the conversation was now all done away. He shrunk back, his audacity dwizzening under the teneberous gloom of the giant’s long shadow. He turned to entreat the help of his fellow soldiers with desperate looks, but there was little more than half of the regiments left behind him, all of them unwilling to intervene, and his bowels rumbled, his heart sinking into the grave of conscience, and never had he felt more mistaken in his conduct.
Gina Damico, Scorch|Damn it, Elliot, do you ever make kissing easy?' he said, cupping his nose. 'Maybe you should learn not to be such a tease and get to it a little quicker,' I shot back. 'So, I've got to get to the kissing before you start thinking too hard about something else?' 'Something like that,' I said, reaching to check his nose. He winced. 'You'll heal in a minute,' I said with a smirk.
David Crockett|This conflict between right and fact has endured since the origins of society. To bring the duel to an end, to consolidate the pure ideal with the human reality, to make the right peacefully interpenetrate the fact, and the fact the right, this is the work of the wise.
Irenaeus of Lyons|Error, indeed is never set forth in its naked deformity, lest, being thus exposed, it should at once be detected. But it is craftily decked out in an attractive dress, so as, by its outward form, to make it appear to the inexperienced more true than truth itself.
Sheri Fink|Before journalism, I had worked doing medical aid work in conflict zones. Then, as a journalist, I had written about hospitals in war zones.
Sherwin B. Nuland|Jobs are a centuries-old concept created during the Industrial Revolution. Despite the reality that we're now deep in the Information Age, many people are studying for, or working at, or clinging to the Industrial Age idea of a safe, secure job.
Elbert Hubbard|Business, to be successful, must be based on science, for demand and supply are matters of mathematics, not guesswork.
Fyodor Dostoyevsky, The Brothers Karamazov|You must know that there is nothing higher and stronger and more wholesome and good for life in the future than some good memory, especially a memory of childhood, of home. People talk to you a great deal about your education, but some good, sacred memory, preserved from childhood, is perhaps the best education.
Anna Pavlova|If the American president is going to rain , then the White House must be busy now of making clouds
Michael Bassey Johnson|He knew that he’d known her for less than a week, but now that she was gone he was continually probing his feelings for her, the way he might probe a sore tooth with his tongue, engaging her in imaginary conversations, imagining her saying such delightful things.
Thomas Pynchon, Gravity's Rainbow|The Doper's DreamLast night I dreamed I was plugged right inTo a bubblin' hookah so high,When all of a sudden some Arab jinniJump up just a-winkin' his eye.'I'm here to obey all your wishes,' he told me.As for words I was trying to grope.'Good buddy,' I cried, 'you could surely oblige meBy turning me on to some dope!'With a bigfat smile he took ahold of my hand,And we flew down the sky in a flash,And the first thing I saw in the land where he took meWas a whole solid mountain of hash!All the trees was a-bloomin' with pink 'n' purple pills,Whur the Romilar River flowed by,To the magic mushrooms as wild as a rainbow,So pretty that I wanted to cry.All the girls come to greet us, so sweet in slow motion,Mourning glories woven into their hair,Bringin' great big handfuls of snowy cocaine,All their dope they were eager to share.We we dallied for days, just a-ballin' and smokin',In the flowering Panama Red,Just piggin' on peyote and nutmeg tea,And those brownies so kind to your head.Now I could've passed that good time forever,And I really was fixing to stay,But you know that jinni turned out, t'be a narco man,And he busted me right whur I lay.And he took me back to a cold, cold world'N' now m'prison's whurever I be...And I dream of the days back in DoperlandAnd I wonder, will I ever go free?
