Cameron Conaway, Caged: Memoirs of a Cage-Fighting Poet|The words he said, too, must be human enough to bleed.
Alain Badiou, The Concept of Model: An Introduction to the Materialist Epistemology of Mathematics|He was a commander in the Russian army at a time when the Russians were our enemies and still part of the Soviet Union . This wasn't very long ago, Alex.The collapse of communism. It was only in 1989 that the Berlin Wall came down." She stopped. "I suppose none of this means very much to you.""Well, it wouldn't," Alex said. "I was only two years old.
Raphael Zernoff|Pushing away unwanted feelings and situations, equals inviting them to return back with a greater strength.
Benjamin Franklin|It is in war that the State really comes into its own: swelling in power, in number, in pride, in absolute dominion over the economy and the society.
Julia Quinn, What Happens in London|Well, possibly," I said, feeling my lips twitch again. "But maybe first you would tell us why you chose to manifest yourself in the form of Shirley Temple as last seen on the 'Good Ship Lollipop'?"The demon twirled around, its big pink sash fluttering as it smoothed down its dress and frilly little petticoat. "My grotesque form isn't making you sick with fright?"We both shook our heads, Noelle with a hand over her mouth to keep from laughing out loud. "Shirley Temple at her pinnacle was frightening," I finally told it, "but not in the sense I think you mean.
Dan Buettner|I've realized that I'm more important than food is. I love a big slice of pizza, but I love myself more. Being thin is about changing the way you think about yourself. It's about saying that you deserve to be healthy.
Darshana Suresh, Howling at the Moon|She asks me how my heart is,and I say, 'beating.'That's never the answer you want, and I am sorry about that.
Gay Talese, Thy Neighbor's Wife|Too many people were obsessed with their heads and were alienated from their bodies, Perls believed, adding: “We have to lose our minds and come to our senses.
Danielle L. Jensen, Stolen Songbird|Now that your speech impediment has been rectified, perhaps you might say something. It would be best if it were humorous. I enjoy a good jest.' 'You are dreadfully rude,' I said to him. He sighed. 'That wasn't the slightest bit funny.
Kenneth Eade, Unreasonable Force|It had to be U. U. was the only town I could still bear, the one spot in the atlas I'd already absorbed head-on. When you take too many of your critical hits in one place, that place can no longer hurt you.
Helen Slavin, The Extra Large Medium|Act – make an event. Smash the coordinates and see where the smithereens fly. Let in the madness, and be sure to be a danger to oneself and others. Too much thinking turns you into that fool Hamlet.
Stephen Richards, Ask and the Universe Will Provide: A Straightforward Guide to Manifesting Your Dreams|By thinking of the good things you want to happen as part of a regular routine, you are creating a positive energy.
William Coperthwaite, A Handmade Life: In Search of Simplicity|It is always easier to take the words of a Jesus, a Gandhi, a Marx, or a Confucius as constituting Holy Writ. This involves less reading, less study, less thought, less conflict, and less independent searching, but it also means less growth toward maturity.
Mohammed bin Rashid Al Maktoum, Flashes of Thought|The future does not wait for hesitant people. The more we achieve, the more we realise how much more we can achieve.
George Takei|When you walk into a doctor's office, you've got to have the same attitude you would about anything else. You've got to ask tough questions, and you've got to not be afraid to challenge their credentials.
Eve Dangerfield, Degrees of Control|Keep your southern fried bullshit to yourself. And know this, Charlie is the sweetest girl I've ever met and if you hurt her, or infect her with some kind of disease, you will die. Slowly.
Regina Brett|Courage - a perfect sensibility of the measure of danger, and a mental willingness to endure it.
Jane Austen, Sense And Sensibility|Every line, every word was -- in the hackneyed metaphor which their dear writer, were she here, would forbid -- a dagger to my heart. To know that Marianne was in town was -- in the same language -- a thunderbolt. -- Thunderbolts and daggers! -- what a reproof would she have given me! -- her taste, her opinions -- I believe they are better known to me than my own, -- and I am sure they are dearer.
Jane Austen, Northanger Abbey|I wanted to soothe and comfort her, the way she had comforted her daughters.
Dennis Sharpe, Blood & Spirits|But your book is wrong, Mrs. Strunk, says George, when it tells you that Jim is the substitute I found for a real son, a real kid brother, a real husband, a real wife. Jim wasn't a substitute for anything. And there is no substitute for Jim, if you'll forgive my saying so, anywhere.
