Paresh Shah|People don't have ideas, ideas have people.
Rainer Maria Rilke, Letters to a Young Poet|Perhaps many things inside you have been transformed; perhaps somewhere, someplace deep inside your being, you have undergone important changes while you were sad. The only sadnesses that are dangerous and unhealthy are the ones that we carry around in public in order to drown them out with the noise; like diseases that are treated superficially and foolishly, they just withdraw and after a short interval break out again all the more terribly; and gather inside us and are life, are life that is unlived, rejected, lost, life that we can die of.
Josh Duhamel|But investment in space stimulates society, it stimulates it economically, it stimulates it intellectually, and it gives us all passion.
Heenashree Khandelwal, Soulmates, By Chance|Sutter Laughed. "You were just being honest. Maybe needed is the wrong word. Wanted. I want to be wanted. I want to be someone's air. I want to feel like my presence makes their life better, just by simply existing.
Ambrose Bierce|History – An account mostly false, of events unimportant, which are brought about by rulers mostly knaves, and soldiers mostly fools.
Alfred Korzybski|It is always the case that when the Christian looks back, he is looking at the forgiveness of sins.
Cecelia Ahern Ahern|Maybe you're not difficult to live with at all, maybe you're just a busy, successful, beautiful woman who won't settle for anything but the best.
Osamu Dazai, The Setting Sun|For the first time in my life I realized what a horrible, miserable, salvationless hell it is to be without money.
Kim Harrison, The Undead Pool|How'd you know he was the one?""I didn't know. I don't think either of us knew."Heather rolled her eyes. "Neal knew — he proposed to you.""It's not like that," Georgie said. "You'll see. It's more like you meet someone, and you fall in love, and you hope that that person is the one — and then at some point, you have to put down your chips. You just have to make a commitment and hope that you're right.
Philip Johnson|When all of us are acknowledged as the human equals that we really are, there will be no space left for bullying. It will no longer be wrong to choose one thing over another.
Samuel Gyekye Mensah|The person of creatures is living, the purpose of living is service, a service that implants legacy.
Thea Devine|He tells me I look as if I could use a hugand i laugh at him and he ignores me and steps forward and puts his arms around me and hugs me. I warm at the simple pleasure of human contact and for the first time in a long time i actually feel good." (James Frey, pg.38)
Cecelia Ahern, Flawed|I’ve learned that to be courageous is to feel fear within, every step of the way. Courage does not take over, it fights and struggles through every word you say and every step you take. It’s a battle or a dance as to whether to let it pervade. It takes courage to overcome, but it takes extreme fear to be courageous.
Tarif Naaz|Humanity smacks me the taste of human psyche and prejudice, being part of human nature. Humans believe that they have a right to decide on behalf of all creatures and make laws for them. Love is more preferred word to replace humanity, it incorporates feelings of all creatures in comparison to humanity, which is only humane.
Melissa Lurquette, A Beautiful Bounty|To be loved, is to be immortal.
Caroline Mytinger, Headhunting In The Solomon Islands: Around The Coral Sea|A woman's destiny, they say, is not fulfilled until she holds in her arms her own little book.
Allie Brosh, Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened|And finally - FINALLY - after a lifetime of feelings and anxiety and more feelings, I didn't have any feelings left. I had spent my last feeling being disappointed that I couldn't rent Jumanji.
Ehsan Sehgal|The steel suddenly touched her heart. Ah, jealousy, it was jealousy, the cold hand mashing her slowly, squeezing her, diminishing her soul.
Eckhart Tolle|Fulfill me, make me happy, make me feel safe, tell me who I am. The world cannot give you those things, and when you no longer have such expectations, all self created suffering comes to an end.
Steven Magee|The leading research in the adverse human health effects of electromagnetic radiation is not being done by well funded governments or corporations, it is coming from a few self funded independent researchers.
