Sunday Adelaja, The Mountain of Ignorance|When we begin to shine, the darkness of ignorance will disappear from our society.
Amy Leigh Mercree, Joyful Living: 101 Ways to Transform Your Spirit and Revitalize Your Life|Joy is all around me, and I celebrate it all.
Scott Hastie|Be brave enough to never yearnFor that you cannot hold closeIn your heart forever.Tread lightly, cherish compassionAnd live in the moment without fear.
Cat Clarke, Entangled|Okay, don't get mad." She pulled out my stake --- or at least something that looked like my stake,only the hilt of it was now covered in bright blue crystals and diamond-like gems."You Bedazzled my stake?""Um ... Surprise," April said, "Just because you're hunting nasty stuff doesn't mean you can't do it in style.
Susan Pollack|If there is moral insanity," he said in a conspiratorial whisper, "then there may be the reverse, immoral sanity, if you will, that comes upon one suddenly, like a fever.
Sean Penn|Movies are open doors, and at every door, I change character and life... I live for the present always. I accept this risk. I don't deny the past, but it's a page to turn.
Mark Twain|This nation is like all the others that have been spewed upon the earth--ready to shout for any cause that will tickle its vanity or fill its pocket. What a hell of a heaven it will be when they get all these hypocrites assembled there!- Letter to J. H. Twichell, 1/29/1901
Amaka Imani Nkosazana|Never underestimate the power of kindness. It is very contagious. A person whose heart is saddened by the troubles of this world, the loss of a friend or family member, a hard days work, or the struggle of provision can experience joy through a simple act of kindness. Romans 12: 10-12, Be kindly affectionate to one another with brotherly love, in honor giving preference to one another, not lagging in diligence, fervent in spirit, serving the Lord, rejoicing in hope, patient in tribulation, continually steadfastly in prayer.
Peter J. Tanous|The three Secrets of Fatima were closely held by the Vatican for decades, until the text of the third and last secret was finally released in 2000.
Park Chan-wook|Forgiveness is hard for me, man. It is for most American-Western males. It's a sign of weakness.
Kami Garcia, Beautiful Creatures|Adornment, what a science! Beauty, what a weapon! Modesty, what elegance!
Victor Hugo, Les Misérables|This light of history is pitiless; it has a strange and divine quality that, luminous as it is, and precisely because it is luminous, often casts a shadow just where we saw a radiance; out of the same man it makes two different phantoms, and the one attacks and punishes the other, the darkness of the despot struggles with the splendor of the captain. Hence a truer measure in the final judgment of the nations. Babylon violated diminishes Alexander; Rome enslaved diminishes Caesar; massacred Jerusalem diminishes Titus. Tyranny follows the tyrant. Woe to the man who leaves behind a shadow that bears his form.
Brynn Myers, Entasy|As the red-haired female watched, it was obvious she could not process what was happening. It was as though she had never seen anything magical; her fear had her locked in place, unable to move. 	In her reality, humans didn’t “feed” off of other humans, but the Sluagh were not human. They were demons and ghosts that haunt and invade. They were your darkest fears. The nightmarish creatures were a part of folklore passed down from generation to generation. The Sluagh were in essence rejected by heaven and hell, existing in the human realm only to consume souls. Humans were blinded by the magic that existed in the world. They assumed fairytales were just someone’s wild imagination, creative tales told to delight and frighten children. It was this lack of acknowledgement that made humans the perfect prey for these outcasts.
Shannon L. Alder|If you were born with the ability to change someone’s perspective or emotions, never waste that gift. It is one of the most powerful gifts God can give—the ability to influence.
