Ashley Ormon|Forgiveness is knowing and remembering what happened, but choosing to move beyond it.
Steve Benson|Gods are fragile things, they may be killed by a whiff of science or a dose of common sense. They thrive on servility and shrink before independence. They feed upon worship as kings do upon flattery. That is why the cry of gods at all times is “Worship us or we perish.” A dethroned monarch may retain some of his human dignity while driving a taxi for a living. But a god without his thunderbolt is a poor object.
Eleanor Roosevelt|It might not seem self-evident that impunity for white violence against blacks would engender black-on-black murder. But when people are stripped of legal protection and placed in desperate straits, they are more, not less, likely to turn on each other. Lawless settings are terrifying; if people can do whatever they want to each other, there are always enough bullies to make it ugly. Americans are nostalgic for the village setting and hold dear the notion of community, so the idea that the oppressed do not band together in solidarity is counter to our myths. But community spawns communal justice; the village gives rise to the feud.
Anna Carey, Eve|Normal. She wanted normal and so did I. "You know what's normal?""What?" She wiped away her remaining tears. "Calculus.
Susan C. Young, The Art of Body Language: 8 Ways to Optimize Non-Verbal Communication for Positive Impact|12 Reasons Why People Avoid Eye Contact1.	They do not want to reveal their feelings.2.	They are not being honest and truthful.3.	It makes them feel vulnerable and exposed.4.	They are being rude or indifferent.5.	They are ashamed or embarrassed to talk about something.6.	They are nervous or lacking confidence.7.	It makes them feel very uncomfortable.8.	They are arrogant, snobby, and pretentious.9.	They are afraid of saying the wrong thing or looking stupid.10.	They are shy or introverted.11.	They are accessing internal thoughts or emotions to process and contemplate information.12.	Or as mentioned before, and important to remember, it may simply be a cultural value or behavior.
Jenny Han, Fire with Fire|What plagues people is not those who don't love them, but those who do.
Blythe Danner|There is no substitute for accurate knowledge. Know yourself, know your business, know your men.
Tom Spanbauer, The Man Who Fell in Love with the Moon|If I give you and apple and ask you, “What is that?”You reply, “An apple.”“How do you know it’s an apple.”“Because it just is.”“How did it get to be an apple?”“It came form an apple.”“Exactly. So when I ask you, ‘What are you?’ You can honestly say, ‘I am a child of God because I came from God.
M.F. Moonzajer|In a victory speech, I always like to thank the opposition, because without their help and stupidity, I couldn’t have won.
Micah Sparks, Three Weeks With My Brother|The vision one holds of one's life is so limited, reduced in scope to a moment, so that each person can make choices only within that narrowed reality.
Charlotte Eriksson|But who, in these modern times, slept well?
Count Basie|I think it's important to travel around in order to get a notion of what's going on, to find out what people are think about. I enjoy talking on campuses most because people are more informed and discussion is generally livelier.
Jason Robert Brown|You gotta live life before you can talk about it. Sometimes when things don't work out in life, they work out on stage.
E. Lockhart, Real Live Boyfriends: Yes. Boyfriends, Plural. If My Life Weren't Complicated, I Wouldn't Be Ruby Oliver|Roo: What’s your definition of popularity?Hutch: I used to think people were popular because they were good-looking, or nice, or funny, or good at sports. Roo: Aren’t they?Hutch: I’d think, if I could just be those things, I’d – you know – have more friends than I do. But in seventh grade, when Jackson and those guys stopped hanging out with me, I tried as hard as I could to get them to like me again. But then . . . (shaking his head as if to clear it) I don’t really wanna talk about it. Roo: What happened? Hutch: They just did some ugly stuff to me is all. And really, it was for the best. Roo: Why?Hutch: Because I was cured. I realized the popular people weren’t nice or funny or great-looking. They just had power, and they actually got the power by teasing people or humiliating them – so people bonded to them out of fear. Roo: Oh. Hutch: I didn’t want to be a person who could act like that. I didn’t want to ever speak to any person who could act like that. Roo: OhHutch: So then I wasn’t trying to be popular anymore. Roo: Weren’t you lonely?Hutch: I didn’t say it was fun. (He bites his thumbnail, bonsai dirt and all.) I said it was for the best.
