Deyth Banger|In life and love, there are no impossibilities.
George Orwell, The Road to Wigan Pier|The fact that has got to be faced is that to abolish class-distinctions means abolishing a part of yourself. Here am I, a typical member of the middle class. It is easy for me to say that I want to get rid of class-distinctions, but nearly everything I think and do is a result of class-distinctions. All my notions — notions of good and evil, of pleasant and unpleasant, of funny and serious, of ugly and beautiful — are essentially middle-class notions; my taste in books and food and clothes, my sense of honour, my table manners, my turns of speech, my accent, even the characteristic movements of my body, are the products of a special kind of upbringing and a special niche about half-way up the social hierarchy.
Mark Helprin, Winter's Tale|I am a child of the Milky Way. The night is my mother. I am made of the dust of stars. Every atom in my body was forged in a star. When the universe exploded into being, already the bird longed for the wood and the fish for the pool. When the first galaxies fell into luminous clumps, already matter was struggling toward consciousness. The star clouds of Sagittarius are a burning bush. If there is a voice in Sagittarius, I’d be a fool not to listen. If God’s voice in the night is a scrawny cry, then I’ll prick up my ears. If night’s faint lights fail to knock me off my feet, then I’ll sit back on a dark hillside and wait and watch. A hint here and a trait there. Listening and watching. Waiting, always waiting, for the tingle in the spine.
Michael Crichton|You know, it really doesn`t matter what (the media) write as long as you`ve got a young and beautiful piece of ass.
Nenia Campbell, Locked and Loaded|Mámá was fond of saying that nothing tastes as good as skinny feels—an aphorism I was pretty sure she'd cribbed from the thinspiration sites she subscribed to online—but I believed that anyone who said such things had never tasted chili-cheese fries with melted cheddar, fresh ground beef, and Tapatio sauce.
Catherynne M. Valente, Silently and Very Fast|Without debate, without criticism no administration and no country can succeed and no republic can survive.
Brennan Manning, The Wisdom of Tenderness: What Happens When God's Fierce Mercy Transforms Our Lives|Everybody has a vocation to some form of life-work. However, behind that call (and deeper than any call), everybody has a vocation to be a person to be fully and deeply human in Christ Jesus.
Bill Bryson, A Short History of Nearly Everything|There are three stages in scientific discovery. First, people deny that it is true, then they deny that it is important; finally they credit the wrong person.
Albert Schweitzer|Sometimes our light goes out, but is blown again into instant flame by an encounter with another human being.
Israelmore Ayivor, Daily Drive 365|We may not be able to stop satan from doing his business, but we can scheme to make his business to yield a loss! All things... I mean "all", "all things", "everything" is working for our good!
Debasish Mridha|I know you lost your way, but remember love is the only freeway of life.
Ronnie Hawkins|Women are the victims of this patriarchal culture, but they are also its carriers. Let us keep in mind that every oppressive man was raised in the confines of his mother's home.
Richard Hell|When a parent shows up with an attitude of entitlement, understand that under it is a boatload of anxiety.
Kurt Vonnegut Jr., A Man Without a Country|Here is a lesson in creative writing.First rule: Do not use semicolons. They are transvestite hermaphrodites representing absolutely nothing. All they do is show you've been to college.And I realize some of you may be having trouble deciding whether I am kidding or not. So from now on I will tell you when I'm kidding.For instance, join the National Guard or the Marines and teach democracy. I'm kidding.We are about to be attacked by Al Qaeda. Wave flags if you have them. That always seems to scare them away. I'm kidding.If you want to really hurt your parents, and you don't have the nerve to be gay, the least you can do is go into the arts. I'm not kidding. The arts are not a way to make a living. They are a very human way of making life more bearable. Practicing an art, no matter how well or badly, is a way to make your soul grow, for heaven's sake. Sing in the shower. Dance to the radio. Tell stories. Write a poem to a friend, even a lousy poem. Do it as well as you possibly can. You will get an enormous reward. You will have created something.
