|Stop chasing people who keep running away from your presence, because even if you succeed in catching them, sooner or later they would run away.
Liezi, Lieh-tzu: A Taoist Guide to Practical Living|When you think your life is falling apart, it's usually falling together in disguise.
Darren Main, The River of Wisdom: Reflections on Yoga, Meditation, and Mindful Living|Silence—true silence is universal. It is the profound stillness at the center of everything, at the center of every relationship—at the center of yourself. While it is always there, it can only be experienced beyond the veil of judgment, expectation, and attachment. From time to time, a person can spontaneously enter into a perfect moment of silence when dancing, watching a sunset, holding an infant, or making love; but for most,true silence remains elusive at best. Yet through various forms of meditation and prayer this veil can be lifted, allowing that inner silence to wash through you, leaving in its wake a cleansed mind and a compassionate heart.
Ana Monnar|Do you come from old money, new money, or no money?
Chris Coppernoll, A Beautiful Fall|I so wish life also had the option of undo making it easier to deal with things you erred. I would have gone back in time to undo every mistake of mine, for which I have paid a very heavy price.
Karen M Gray, Save Your Marriage: A Guide to Restoring & Rebuilding Christian Marriages on the Precipice of Divorce|You often hear it said that people have bad marriages, but in fact, this is not true. Marriage is a God instituted covenant between a man and a woman, and it is good. That has never changed."The institution hasn’t failed – people are failing to work out their problems. Couples are simply giving up and walking away, or simply have no idea what they can try next. The good news is that even “soured” relationships can be healed. Things can change. People can change. Marriages can be better than they ever were before.
RVM|Just because you are what you are, where you are, that does not mean you should continue to be there.
Neal Shusterman, Unwind|Sorry, just ignore the man behind the curtain. Great, a subconscious with a sense of humor.
Sravani Saha Nakhro|Yes, It will be difficult. Yes, It will take enormous time. Yes, they will laugh at you. Yes, you will feel like giving up.Yes, you will win.
Abhijit Naskar, The Islamophobic Civilization: Voyage of Acceptance|Diversity is Nature’s stronghold, yet that very diversity has become a curse for an entire species, which is supposedly the most advanced one on its planet.
John Greenleaf Whittier|Heard melodies are sweet, but those unheard are sweeter.
Curtis Sittenfeld, The Man of My Dreams|She has always been a bystander in family destruction, never realizing she herself possessed the capacity to inflict it.
Hoda Kotb|If you eat a lot of starchy foods, introduce a vegetable once a week, then twice a week, and then three times a week. Slowly fill your diet with new flavors. By the time you're ready to let go of whatever it is you want to let go of, you've got a full menu.
Kavipriya Moorthy, Dirty Martini|But now, I am addicted to the peace and calm of being alone. There is something so soothing about solitude that I have no urgent wish to give it up and connect with people.
G. Allen Cook|It’s not words, but years we should be editing. Remember: time spent on bad art is a form of redundancy, doing the same thing twice is a form of tautology, and wasting precious moments complaining about life is a form of pleonasm. We should all learn to live our lives concisely.
Jason Jennings, Think Big, Act Small: How America's Most Profitable Companies Keep the Start-up Spirit Alive|If Entrepreneurship was easy, the term would have been easier to pronounce too!
Catherine E. McLean, Karma and Mayhem|What lies behind us and what lies before us are small matters compared to what lies within us."--Ralph Waldo Emerson
Cass Sunstein|I am so saddened and grossed out by young women who look like creepy, old aliens because of their new Barbie noses and lips. Is that a smile or a grimace?
