Dick Van Dyke, Keep Moving: And Other Truths About Living Well Longer|Aging is scary but fascinating, and great talent morphs in strange and often enlightening ways.
Johann Gottfried Herder|To think what is true, to sense what is beautiful and to want what is good, hereby the spirit finds purpose of a life in reason.
Steve King|Civilization is the progress toward a society of privacy. The savage's whole existence is public, ruled by the laws of his tribe. Civilization is the process of setting man free from men.
Adelaide Crapsey, Verse by Adelaide Crapsey|And the centurion who stood by said: Truly this was a son of God. Not long ago but everywhere I go There is a hill and a black windy sky. Portent of hill, sky, day's eclipse I know; Hill, sky, the shuddering darkness, these am I. The dying at His right hand, at His left, I am - the thief redeemed and the lost thief; I am the careless folk; I those bereft, The Well-Belov'd, the women bowed in grief. The gathering Presence that in terror cried, In earth's shock in the Temple's veil rent through, I; and a watcher, ignorant, curious-eyed, I the centurion who heard and knew
Immanuel Kant|Please be a traveler, not a tourist. Try new things, meet new people, and look beyond what’s right in front of you. Those are the keys to understanding this amazing world we live in.
Natasha Anders, The Unwanted Wife|We were born between Oh Yeah& Goddammit. I knew lifeBegan where I stood in the dark,Looking out into the light,& that sometimes I could seeEverything through nothing.The backyard trees breathedLike a man running from himselfAs my brothers backed awayFrom the screendoor.
Nicholas Sparks, Dear John|It can be coins or sports or politics or horses or music or faith... the saddest people I've ever met in life are the ones who don't care deeply about anything at all. Passion and satisfaction go hand in hand, and without them, any happiness is only temporary, because there's nothing to make it last.
Leonard Bernstein|When I think of the wisest people I know, they share one defining trait: curiosity. They turn away from the minutiae of their lives-and focus on the world around them. They are motivated by the desire to explore the unfamiliar. They are drawn toward what they don't understand.
Farid F. Ibrahim|Artists are not in delusion, they only recreate the hidden side
Friedrich Nietzsche, Human, All Too Human|In large States public education will always be extremely mediocre, for the same reason that in large kitchens the cooking is at best only mediocre.
Bruce Jenvey, The Ragtime Coven|When they had hurried to the train station with their violin cases, they had drawn almost as many stares as they would on any normal day when their hair was to their knees and sheeting behind them like red silk. A poetic fruit-seller had told them once that they looked like dryads, and they did still, only now they looked like dryads who had tired of snagging their hair on brambles and sliced it all off on the edge of a knife.
Benjamin Franklin, The Autobiography of Benjamin Franklin|Then shouldering their burdens, they set off, seeking a path that would bring them over the grey hills of the Emyn Muil, and down into the Land of Shadow.
Dianna Hardy, Releasing The Wolf|Envy is a buzz killer."~R. Alan Woods [2013]
Ellen J. Barrier|I am not a person who goes in the side of the many, because I prefer the side of the victor.
James E. Faust|Hope is trust in God's promises, faith that if we act now, the desired blessings will be fulfilled in the future.
Julian Barnes, Flaubert's Parrot|I quite agree with Dr. Nordau's assertion that all men of genius are insane, but Dr. Nordau forgets that all sane people are idiots.
Robin Jarvis, Thomas|The path of life is strewn with many perils and the folly of knowledge is one of the greatest dangers. Wisdom is a treacherous weapon, little master, for it is sundered from compassion. All too often the end of the journey gains more import than it should and the wise become blind to the road and the method of their passing.
Isabella Johns, My Hot Fireman|Here’s what happens when a single mom meets New York City’s hottest fireman…“Then…seductively…as if he received instruction not from the FDNY’s training school but at Chippendale’s…he slowly inches each suspender off his bare shoulders.”“You must know that exhilarating feeling of a man’s body on top of yours, all that power and muscle pressing you into the bed, the glorious taste of his tongue in your mouth, the manly scent that washes over you and makes you want to melt underneath him.”“Let’s not forget about his nine inches of shapely fireman hose dangling so close in front of my face the scent launches me into a blissful fever.”“Every place he touches contradicts his chosen profession, because instead of putting out a fire he surely starts one.”“I’m so darn helpless in the arms of this powerful, young, ripped personification of New York’s Bravest that I feel myself about to erupt in the most earth shattering explosion since Mount Vesuvius last announced her presence.”“I wonder if he could be enticed to show us a few maneuvers on the brass pole.”“He orchestrates his own personal opera, inspiring high notes with kisses and licks along my elongated nipples, and deep moans with hands that caress my belly.”“We are drawn uncontrollably to each other and have no power to resist, only the tremendous desire to experience everything in its most intense form.
