Jorge Luis Borges|Nothing is built on stone; All is built on sand, but we must build as if the sand were stone.
Alejandro C. Estrada|If Prophets and Messengers are the closest to godliness as any human is capable of being, and yet even they fail, how the fuck can anyone, less than perfect, be so arrogant as to expect they will do better than a Prophet, or Messenger of G-D.
Michael Pollan, In Defense of Food: An Eater's Manifesto|The shared meal elevates eating from a mechanical process of fueling the body to a ritual of family and community, from the mere animal biology to an act of culture.
John Hurt|I'm essentially the result of other people's imagination. And that's fine. Because of other people's imagination, I've played parts I would never have thought I could do. Still, I've never had a hankering or an ambition for any particular role.
Anella Wetter, Hear Me Universe!: How I Deliberately Attracted The Man of My Dreams|Talking about independence makes me wonder, Who is truly independent in this world? A farmer who grows food is dependent on a baker, a barber, a doctor, and so on. A doctor is dependent on other people of different professions in order to survive. I am dependent and will be dependent on certain caregivers and therapists. Those caregivers and therapists need people like me to earn their bread and butter and draw their salaries. So no one is doing any favors when choosing whatever his means of livelihood is.
John J. Geddes|I am cold, even though the heat of early summer is adequate. I am cold because I cannot find my heart.
Kenya Wright, The Muse|I’ve been waiting for you for a very long time.” I raised her off my shoulders, lowered her to me, and guided her legs around my waist. “Why did you take so long to come to me?”“If I knew you were here, I would’ve come so much sooner.
Ari Berk & Carolyn Dunn|One of the reasons people and animals share such a close relationship is that people have always learned important lessons from animals: what to eat, and what not to eat; when it is safe, or when there is danger about. Have you ever walked in a park or forest where there were no birds singing and no small animals to be seen? It's unsettling, isn't it? Where have the birds gone? And why did they leave? Often, animals can warn us of trouble before we are able to detect it for ourselves. Many people have been saved from fires by their pets, who, sensing the danger early, woke their owners and allowed them to get to safety. By carefully watching animals and their behavior, people can learn, and have learned, a great deal about their environment.
Bastiat, Frederick|Thus, since an individual cannot lawfully use force against the person, liberty, or property of another individual, then the common force — for the same reason — cannot lawfully be used to destroy the person, liberty, or property of individuals or groups.
Hunter Shea, Island of the Forbidden|Black rose, black roseWho’s gonna be your only one?Who’s gonna keep you safe and warm?Run, run my baby black roseI’m gonna find you home.
G. Willow Wilson, Alif the Unseen|The few Americans he had encountered in his lifetime had all seemed flat to him, as if freedom weakened one's capacity for intense emotion by demanding too little of it.
Randolph Bourne, The Radical Will: Selected Writings 1911-1918|They sealed this promise by hooking pinkies, the way they used to, long ago, when promises didn't hurt as much.
Jim Lynch, The Highest Tide|When Rachel Carson accepted the National Book Award, she said, 'if there is poetry in my book about the sea it is not because I deliberately put it there but because no one could write truthfully about the sea and leave out poetry.
R. A. Delmonico|The intellect is the earth, the emotions are the sky and the spirit is the universe beyond.
Craig D. Lounsbrough, An Intimate Collision: Encounters with Life and Jesus|An ending is only happening because at some point it was a beginning. And if an ending is dependent upon a beginning, I would be well advised to focus on the miracle of beginnings verses the pain of endings.
Drew Houston|Land on Mars, a round-trip ticket - half a million dollars. It can be done.
Mikhayla Gracey, Save Me, I'm Yours: Saving Our Children from Ritual Abuse and Nazi Mind Control|Margaret Attwood: “I hope that people will finally come to realize that there is only one race – the human race – and that we are all members of it.”Amen to that, I say. (Tom Bryson)
Bipasha Basu|I really hate the duties of being a celebrity, like getting dressed up for the red carpet.
C. JoyBell C.|Every year, we have 365 chances to begin a new lifetime.
