Sam Gayton|Every time you say it is impossible, you shoot yourself in the foot
Joe Jordan, Sharpen Your Life: 52 Strategic Moments to Create a Lifetime of Success|One of the greatest ways you can affirm value in another person is by giving them the gift of your undivided attention, the kind of attention that says, “I hear what you are saying because I value who you are.” You don’t have to agree with someone to show them their value as a person. Listening demonstrates that any person you meet is worthy of your respect and attention.
L. Neil Smith|In God, the characteristics of men and women that we admire in men and women are combined. That's been a traditional Catholic teaching that God is the combination of opposites.
Lee Marvin|Because I am committed to the truth of Scripture, I must try to understand what Scripture says, even if it transcends my own experience.
Bill Willingham|One day, you will be old enough to start reading fairytales again.
Geneen Roth, Women, Food and God: An Unexpected Path to Almost Everything|...compulsive eating is basically a refusal to be fully alive. No matter what we weigh, those of us who are compulsive eaters have anorexia of the soul. We refuse to take in what sustains us. We live lives of deprivation. And when we can't stand it any longer, we binge. The way we are able to accomplish all of this is by the simple act of bolting -- of leaving ourselves -- hundreds of times a day.
Patience Johnson, Why Does an Orderly God Allow Disorder|Men....do you have a plan for your business? Tell your wife, be honest. If you lock her out of your plan, she will become malfunction.
Julio Cortázar, Around the Day in Eighty Worlds|It's a very remarkable story.""Remarkable's a well-chosen word. It doesn't give you away.
Ella Fox, Picture Perfect|Never loved the taste of someone before baby, but with you, I would willingly drown in it.  I’m going to devour you Tessa, from the inside out, and you’re going to come so many times that you’ll forget there even was anyone before.  Focus on us babe.  You and me together is all that will ever matter.
John Frusciante|As entrepreneurs, we often get pressured into hiring an industry executive. While it's good to hire people with experience, it can also be a stumbling block because they think about the business the same way everyone else does.
Lucius Annaeus Seneca|Forward, as occasion offers. Never look round to see whether any shall note it... Be satisfied with success in even the smallest matter, and think that even such a result is no trifle.
Susan C. Young, The Art of Action: 8 Ways to Initiate & Activate Forward Momentum for Positive Impact|I disagree with the adage, “The road to hell is paved with good intentions.” Good intentions are powerful mindsets which will drive your actions to accomplish the results you want. Setting good intentions sets you up for success by providing you with a vision and a plan to “get ‘er done” and make it happen!
Tonny K. Brown|I pray, before I die, that I receive the power to believe in fairytales again, Oh' how I would love to laugh and know that God laughed with me.
R.N. Prasher|Putting some 'gray in play,' as Chad referred to it, always helped. HE said the act of rationalizing the pros and cons helped to cloud the issues enough to avoid a moral quandary. It allowed us to believe the ends justified the means. Seeing gray helped to remove the black-and-white, right and wrong ethical choices.. . Had I become so jaded in my life that I had actually forgotten the difference between right and wrong? Or had I simply tried to ignore the difference so I could sleep at least two or three hours a night?
Beth Turner|Sometimes the darkness finds us, that will always be inevitable. If one chooses to manifest such feelings creatively, then it really isn't darkness at all.
Eric Spitznagel, Old Records Never Die: One Man's Quest for His Vinyl and His Past|I am old enough to enjoy a bit of nostalgia, but wise enough to know that there haven't been any "good ol' days" since Eden (the garden, not the prime minister).
Ann Brashares, Girls in Pants: The Third Summer of the Sisterhood|She thought she was independent and strong, but she got one small taste of love and she was hungrier than anyone. She was ravenous.
Jennifer Kacey, Final Surrender|Charlie followed where they were looking and stopped dead in her tracks. Other people walked around her, grumbling and grouchy. She was bumped several times and none of it mattered. Because past the row of seats in the center aisle, right there at her gate, stood Cole, holding a sign with a rainbow on it that said “Charlie”.His handsome face sported a charming smile, which made her laugh and start crying like a total girl.
