Timothy Egan|Like all great readers, he could create for himself a "wall of stillness".
Malorie Blackman, Checkmate|You remind me of a boy I used to knowSame Smile, same easy, laid-back styleAnd man, could he kissBlew my mind the very first timeHis lips touched mine.You remind me You remind me of a boy I used to like.Same eyes, strong arms, same open mindAnd man, could he danceArms around me, lost in a tranceI'd hear his heartYou remind meI'm scared of youHow did you find me?Turn and walk away'Cause you remind meYou remind me of a boy I used to loveSame laughter and tears, shared through the years And man, how he feltMade my bones more than meltHe touched my soul.You remind meI'm scared of youHow did you find me?Turn and walk away'Cause you remind me
Peter   Graham|I will erase this world of yours with such magnificence of my presence that your vision will remain no more, your eyes fading to darkness and your soul barren before me, in my grasp that I shall corrupt to a slave of mine.
Carl Rogers|As I get older, I want to draw on my experience to make roles better. I see that in the older women who inspire me - their experience makes them better.
Stephanie Lahart|Who told you it was too late? And more importantly, why did you choose to believe them?
Christine Feehan, Turbulent Sea|She didn't know how to love, to give herself to someone, to out herself in someone else's keeping and take him into hers. She didn't trust anyone with her heart - or the darker places of her soul.
Bangambiki Habyarimana, The Great Pearl of Wisdom|What some politicians really mean when they saythis country: me, my party, my ethnic groupinternational justice is biased: they want to arrest meterrorists: oppositionillegal immigrants: refugeeselections: remaining in powerpeace: eliminating the oppositioninternational community: the rich countriesthe people: sympathisers of my party
Dr. Karan M Pai|He failed!! I think He has failed ever for the first time in knowing a person, analyzing their feelings. Just realized that He was living in a hallucination that, even she likes me and is attached to me which was false.. I never analysed anybody wrong till date dont know how it happened this very first time. When ever his calls were ignored He always thought she is busy or with ppl where she could not talk but realizing it now that if he mattered the calls would have returned back. Which did not happen. When ever his texts got only smileys or hmmm..!! Response he should have understood that he is going into a place where he won't be returned with love. Ok let me wear her shoes n think!! Is it all about you always? Don't you need anybody to love you? Don't u want somebody in life with whom u can get lost in the shore of silence? Yes? Then why are being so not interested? When he is putting so much effort n time? Why do u think he is doing that? What has he seen in u? Do u think he is a waste n has not seen ladies till date? Do u know the pain of being away from you just cuz if he is close to you, he may keep annoying he kept himself away. Whose day doesn't start with out u n whose night doesn't drown with out u is like this. He is lost in your thoughts but has the strong will not to disturb you. He is not desperate but he craves for love and attention that's it. He never stalked you nothing. Yes he is aggressive band active when it comes to u. And it's only for you. The person who has like entire world on his head of pressure can only think about u? Be he does. I know the response too for this msg.. that's Hmmm..!!, loving someone is not a big deal but having loved someone is definitely a big deal. Anyways he is missing you crazily. This is just for you to know that he failed.
William Wordsworth, The Prelude|YOU SAY "POET" LIKE THAT MEANS SOMETHING.
Thomas Bradwardine|It is mathematics which reveals every genuine truth, for it knows every hidden secret, and bears the key to every subtlety of letters; whoever then has the effrontery to study physics while neglecting mathematics, should know from the start that he will never make his entry into the portals of wisdom.
David Lynch, Catching the Big Fish: Meditation, Consciousness, and Creativity|You can understand conflict, but you don'thave to live in it.
Jay Woodman, SPAN|Has there ever been a night where you didn’t feel safe? Maybe you felt you were being watched? Or you couldn’t close your eyes for fear of the unknown? If, for only a moment, you let your guard down and hear a sound—unidentified and quiet—maybe it was all in your head.Never let your guard down.
David Lodge, Small World|to read is to surrender oneself to an endless displacement of curiosity and desire from one sentence to another, from one action to another, from one level of a text to another. The text unveils itself before us, but never allows itself to be possessed; and instead of trying to possess it we should take pleasure in its teasing
