Tom Hanks|If you're funny, if there's something that makes you laugh, then every day's going to be okay.
Flannery O'Connor, Mystery and Manners: Occasional Prose|If the writer believes that our life is and will remain essentially mysterious, if he looks upon us as beings existing in a created order to whose laws we freely respond, then what he sees on the surface will be of interest to him only as he can go through it into an experience of mystery itself. His kind of fiction will always be pushing its own limits outward toward the limits of mystery, because for this kind of writer, the meaning of a story does not begin except at a depth where adequate motivation and adequate psychology and the various determinations have been exhausted. Such a writer will be interested in what we don't understand rather than in what we do. He will be interested in possibility rather than probability. He will be interested in characters who are forced out to meet evil and grace and who act on a trust beyond themselves—whether they know clearly what it is they act upon or not.
Charlotte Perkins Gilman, The Yellow Wall-Paper|John laughs at me, of course, but one expects that in marriage.
Stephen Richards|You cannot “catch” anything unless you think you can, and thinking you can is inviting it to you with your thought. You are also inviting illness if you are listening to people talking about their illness. As you listen, you are giving all your thought and focus to illness, and when you give all of your thought to something, you are asking for it.
Kiera Cass, The Siren|See!” Dad yelled. “Boys don’t stay with whores, Bianca. They leave them. And I’m not going to let you turn into a whore. Not my daughter. This is for your own good.”I looked up as he reached a hand down to grab my arm. I squeezed my eyes shut, waiting to feel his fingers clamp around my forearm.But they never did.I heard a loud thud, and Dad grunted in pain. My eyes flew open. Wesley moved away from Dad, who was massaging his jaw with a shocked look on his face. “Why you little shithead!”“Are you all right?” Wesley asked, kneeling in front of me.“Did you just punch my dad?” I couldn’t help but wonder if I was delirious. Had all of this really just happened? Totally bizarre.“Yes,” Wesley admitted.“How dare you touch me!” Dad screamed, but he was having trouble balancing enough to approach us again. “How dare you fuck my daughter, then hit me, you son of a bitch!”I’d never heard my father swear like that before.“Come on,” Wesley said, helping me to my feet. “Let’s get out of here. You’re coming with me.” He wrapped an arm around me, pulling me close against his warm body, and ushered me out the open door.
John Darnielle|As an actor, whether I'm playing Othello on stage or David Estes on 'Homeland,' that ability to give into your imagination is something that I enjoy.
George Orwell, 1984|It's only amatter of time, and God's timming never second best
Ramana Pemmaraju|I'm not a writer, I just express in words!
Douglas Adams|Technology moves so fast and social media moves so fast because everyone wants the new thing, but also, everyone wants to be where their parents are not. Once the mom got a Facebook and a Twitter and an Instagram, I don't want to be there anymore.
Jeffrey Eugenides, Middlesex|Fortune gives too much to many, enough to none. Lat., Fortuna multis dat nimis, satis nulli.]
Marita Golden, Migrations of the Heart|To my father, who told me the stories that matter. To my mother, who taught me to remember them.
Ben Lerner, The Hatred of Poetry|Poetry arises from the desire to get beyond the finite and the historical—the human world of violence and difference—and to reach the transcendent or divine. You're moved to write a poem, you feel called upon to sing, because of that transcendent impulse. But as soon as you move from that impulse to the actual poem, the song of the infinite is compromised by the finitude of its terms.
S.L.Jennings|You have chastised me, demeaned me and dismantled me, before bringing me back to life. Who would have thought all of this was possible in a grotty cubicle of the men’s room? You hold me there for some time whilst we both catch our breath. Tentatively I raise one hand from the wall and claw at your dark, luscious hair behind me. I love these tender moments between us just as much as the kinky, depraved ones.
