Anthony Burgess, Little Wilson and Big God: The First Part of the Confession|Nothing goes on forever. If it did, there wouldn't be anything else, would there?
Akiroq Brost|Act, think, do, according to your truth, according to who you are, and who you want to be. Congruency matters. How can you escape when you betray your heart, your passion, your needs and your mind? There is no hiding. It will eat you alive. Even if it is difficult, even if it may seem impossible, stay true to yourself. No one can live this life but you. If you live your life solely for others but never for yourself, you will impair your ability to truly help others. Whatever is within us always seeps out through our words, actions and behaviour. If we sabotage ourselves by doing what we may think we are supposed to, according to others but not according to our own hearts, what will our children and loved ones think? What are we showing the world when we betray our very nature? Will others think this is an act of love or self-love? Worse still if others then attempt to mimic it and do the same. Would you want your child deeply unhappy because they were following what they thought they had to, what was expected? If you wouldn't wish that for your child, then don't wish it for yourself either. Be just as loving and caring to yourself as you would be to those you love the most. Learn to love yourself enough to allow yourself to dream, explore, follow your passions, and even risk failure. Follow the truths that are carried within the heart of your soul.
David Ogilvy|Business cycles naturally entail peaks and troughs in employment, and socially responsible businesses should follow successful examples like Coca-Cola, Alcoa, Saudi Aramco, Africa Rainbow Minerals, and Google in working toward mitigating joblessness and enhancing people's abilities to earn a livelihood.
Rick Riordan, The Blood of Olympus|Out of every tragedy, " he said, "comes new strength.
Shannon A. Thompson, Minutes Before Sunset|I wanted to survive—not for my kind, but for trust, for friendship, for another being. (Eric)
Robert Greene, Mastery|When our earliest human ancestors left the trees and moved to the open grasslands of the savanna, they adopted an upright stance. Possessing already this powerful visual system, they could see far into the distance (giraffes and elephants might stand taller, but their eyes are on the sides, giving them instead panoramic vision). This allowed them to spot dangerous predators far away on the horizon and detect their movements even in twilight. Given a few seconds or minutes, they could plot a safe retreat. At the same time, if they focused on what was nearest at hand, they could identify all kinds of important details in their environment—footprints and signs of passing predators, or the colors and shapes of rocks that they could pick up and perhaps use as tools.
Henrik Ibsen, A Doll's House|You see, there are some people that one loves, and others that perhaps one would rather be with.
John A. Ashley|Some think intuition is a gift, but it can be a curse as well--a voice calling to us from places that are better left unexplored...an echo of memories that will never die, no matter how hard we try to kill them.
Kristin Hannah, The Nightingale|This body. This body Dan wanted to possess, and together they made a baby, asleep right now in the very next room. She tells herself that he's alive, that he's well, though some instinct in her tells her, every so often, that the baby is dead, that she needs to rush to his side. Either this will pass, or it never will. This is motherhood.
Robert L. Heilbroner, The Worldly Philosophers|Paradise, the capitalists promise, is right around the corner. True, mistakes have been made such as the Atlantic slave trade and the exploitation of the European working class, but we have learned our lesson and if we just wait a little longer and allow the pie to grow a little bigger, everybody will receive a fatter slice.
Terry Pratchett, Going Postal|Adora Belle fought back, and to make sure fought back even before she was attacked.
William Beaumont, Experiments and Observations on the Gastric Juice: and the Physiology of Digestion|Sometimes to escape the noise of haunting memories, you need your best friends hand in your own, to help erase the sound and fill you with a sense of peace, even if it’s temporary.
Muhammad Imran Hasan|We're as ephemeral as raindrops. We all fall, and we all land somewhere.
Dylan Taylor|If your mom asks you to do the dishes, do not pull out your pirate attitude. But if someone tells you you're not good enough, says your dreams are too lofty, or claims there is no room in showbiz for a dancing violinist - well then, by all means, pull out your eye patch, my friend, and take to the high seas.
Eileen Anglin|A study of the San Francisco Beat enclave by psychiatrist Dr. Francis Rigney in the late 1950's showed 60 percent "were so psychotic or crippled by tensions, anxiety and neurosis as to be nonfunctional in the competitive world." In contrast, the several studies released so far made of the student radicals at Berkeley show them to be stable, serious, and of above-average intelligence. The point is that the Beats had to "cop out" of the Rat Race because they couldn't perform; the New Left chooses to reject a society it could easily be successful in.
Ha-Joon Chang, 23 Things They Don't Tell You About Capitalism|We have always known that heedless self interest was bad morals, we now know that it is bad economics.
