Emily Roberson|Unfeeling thing that I was, the sensibilities of the maternal heart were Greek and Hebrew to me.
Stacey Trombley, Naked|If you really truly want to know, I've thought if I was ever free someday, I might discover I've held my tears so long that I can't cry anymore, that I'm a dry stone and nothing can ever be wrung from me.
Susan Coolidge, What Katy Did|You can make your room such a delightful place that they will want to come to you...she is always on hand. Everybody who wants her knows just where to go. If people love her, she gets naturally to be the heart of the house. Once make the little ones feel that your room is the place of all the others to come to when they are tired, or happy, or grieved, or sorry about anything and that the Katy who lives there is sure to give them a loving reception and the battle is won. For you know we never do people good by lecturing.
pavankumar nagaraj|Because you see, when you’re a strong person, people often look to you to take care of them. People look to you for help. People look to you for strength.And when your life spins out of control, it’s as if their lives are tied to your own and will come crashing down with yours.
ASAP Rocky|I have always been an honest trader. I come from a school of traders where there was honour in the deal. No contracts, just a handshake and that's it, done. That's the way I prefer to do business but it's not always possible these days, sadly.
Richard Feynman, The Character of Physical Law|Realizing its fundamental importance in understanding spectral lines, in atomic physics and in the theory of how light and electrons interact, quantum electrodynamics, Pauli and Heisenberg were determined to derive it from quantum theory rather than introducing it from the start. They believed that if they could find a version of quantum electrodynamics capable of producing the fine structure constant, it would not contain the infinities that marred their theories.
Bill Murray|Depending on what day of the week it is and what time of the month it is, I'm a good friend or not a good friend. I'm more or less a good mom or not a good mom, more or less a good mate or not a good mate. That's just life, whether or not you're public.
Johnnie Dent Jr.|The Swimmer's Advantage:1)Your goal is measured first by seeing; The distance is accomplished by the strategy of believing that the same set of repetitious acts will get you there.2)Even when the elements around you are overwhelming, have the confidence to keep your head above the water. 3) Though at times you may not even see it, faith is knowing that the shore is always straight ahead. 4) By consistently reaching out over and over, you are bound to be rewarded by touching something worth more than when you started.
Neil Gaiman, The Graveyard Book|Each of the dancers took a partner, the living with the dead, each to each. Bod reached out his hand and found himself touching fingers with, and gazing into the grey eyes of, the lady in the cobweb dress. She smiled at him.“Hello, Bod,” she said.“Hello,” he said, as he danced with her. “I don’t know your name.”“Names aren’t really important,” she said.“I love your horse. He’s so big! I never knew horses could be that big.”“He is gentle enough to bear the mightiest of you away on his broad back, and strong enough for the smallest of you as well.”“Can I ride him?” asked Bod.“One day,” she told him, and her cobweb skirts shimmered. “One day. Everybody does.”“Promise?”I promise.
Billy Graham, Billy Graham in Quotes|It is not the temptations you have, but the decision you make about them that counts.
Matshona Dhliwayo|You can switch off all the lights, but that won't stop the sun from rising.
Stephen King, The Stand|Dreams are a simple psychological emetic, and people who have them are more blessed than cursed
Philip Pullman, His Dark Materials|This is what’ll happen,” she said, “and it’s true, perfectly true. When you go out of here, all the particles that make you up will loosen and float apart, just like your daemons did. If you’ve seen people dying, you know what that looks like. But your daemons en’t just nothing now; they’re part of everything. All the atoms that were them, they’ve gone into the air and the wind and the trees and the earth and all the living things. They’ll never vanish. They’re just part of everything. And that’s exactly what’ll happen to you, I swear to you, I promise on my honor. You’ll drift apart, it’s true, but you’ll be out in the open, part of everything alive again.
Anonymous|First I was dying to finish high school and start college. And then I was dying to finish college and start working. And then I was dying to marry and have children. And then I was dying for my children to grow old enough for school so I could return to work. And then I was dying to retire. And now, I am dying... and suddenly I realize I forgot to live.
Søren Kierkegaard|Everything built with an art, May your eyes couldn't see it, but digital eye can.
Louis D. Brandeis|It was once said that the moral test of government is how that government treats those who are in the dawn of life, the children; those who are in the twilight of life, the elderly; and those who are in the shadows of life, the sick, the needy and the handicapped.
Tamara Hoffa, A Special Kind of Love|She always thought of Aaron as special not less. He was God’s gift to her, and she wouldn’t trade him for the world.
