Akash B Chandran|Use time and space; grow slowly into your dreams, infinity will fill you with peace.
Darynda Jones, Third Grave Dead Ahead|Gemma Davidson,” she answered, her voice as groggy as I felt. “Where are you?” I asked. “Who is this?” “Elvis.” “What time is it?” “Hammer time?” “Charley.” “Did you text me? Did your car break down?” “No and no. Why are you doing this to me?” She was funny. “Check your cell.” I heard a loud, sleepy sigh, some rustling of sheets, then, “It won’t come on.” “Not at all?” “No. What did you do to it?” “I ate it for breakfast. Check the battery compartment.” “Where the hell is that?” “Um, behind the battery door.” “Are you punking me?” I heard her fumbling with the phone. “Gem, if I was going to punk you, I wouldn't simply turn off your phone. I would pour honey in your hair while you slept. Or, you know, something like that.” “That was you?” she asked, appalled.
Jan Moran, Scent of Triumph|What a beautiful woman. She moved with grace, she was entirely feminine, and yet, she possessed incredible inner strength. She’s a survivor.
Søren Kierkegaard, Fear and Trembling|If there were no eternal consciousness in a man, if at the bottom of everything there were only a wild ferment, a power that twisting in dark passions produced everything great or inconsequential; if an unfathomable, insatiable emptiness lay hid beneath everything, what would life be but despair?
Tina Brown|I won't compare ants and people, but ants give us a useful model of how single members of a community can become so organized that they end up resembling, in effect, one big collective brain. Our own exploding population and communication technology are leading us that way.
Christina Enevoldsen|The inability to get something out of your head is a signal that shouts, “Don’t forget to deal with this!” As long as you experience fear or pain with a memory or flashback, there is a lie attached that needs to be confronted. In each healing step, there is a truth to be gathered and a lie to discard.
Last Man Standing|The world can be seen from so many different angles. Each of us is born seeing the world in a different way, and each moment we live shapes our eyes and hearts differently.
Paulo Coelho, The Alchemist|Maktub" (It is written.)
Dada Bhagwan|Even if just once, the inner intent spoils towards someone, as in ‘I will put him in his place’, it is a statement made with God as your witness, so how can it go to waste? There is no problem if the inner intent does not spoil. Everything will become silent. Everything will stop.
J.C. Cooper|The highest goodness is like water.Water is beneficial to all things but not contend. It stays in places which others despise. Therefore it is near Tao. The weakest things in the world can overmatch the strongest things in the world. Nothing in the world can be compared to water for its weak and yielding nature; yet in attacking the hard and strong nothing proves better than water. For there is no alternative to it. The weak can overcome and the yielding can overcame the hard. This all the world knows but does not practice. This again is the practice of ‘wu-wel’ and nonviolence. Water may be weak, pliable, fluid, but its action is not one of running away from an obstacle. On the contrary, it gives at the point of resistance, envelopes the object and passes beyond it. Ultimately it will wear down the hardest rock. Water is a more telling symbol than land… crossing the river to get to the other side is, again, attaining the state of enlightenment.
Pedro Antonio de Alarcón, Ghostly By Gaslight|The moon fled eastward like a frightened dove, while the stars changed their places in the heavens, like a disbanding army.'Where are we?' asked Gil Gil.'In France,' responded the Angel of Death. 'We have now traversed a large portion of the two bellicose nations which waged so sanguinary a war with each other at the beginning of the present century. We have seen the theater of the War of Succession. Conquered and conquerors both lie sleeping at this instant. My apprentice, Sleep, rules over the heroes who did not perish then, in battle, or afterward of sickness or of old age. I do not understand why it is that below on earth all men are not friends? The identity of your misfortunes and your weaknesses, the need you have of each other, the shortness of your life, the spectacle of the grandeur of other worlds, and the comparison between them and your littleness, all this should combine to unite you in brotherhood, like the passengers of a vessel threatened with shipwreck. There, there is neither love, nor hate, nor ambition, no one is debtor or creditor, no one is great or little, no one is handsome or ugly, no one is happy or unfortunate. The same danger surrounds all and my presence makes all equal. Well, then, what is the earth, seen from this height, but a ship which is foundering, a city delivered up to an epidemic or a conflagration?''What are those ignes fatui which I can see shining in certain places on the terrestrial globe, ever since the moon veiled her light?' asked the young man.'They are cemeteries. We are now above Paris. Side by side with every city, every town, every village of the living there is always a city, a town, or a village of the dead, as the shadow is always beside the body. Geography, then, is of two kinds, although mortals only speak of the kind which is agreeable to them. A map of all the cemeteries which there are on the earth would be sufficient indication of the political geography of your world. You would miscalculate, however, in regard to the population; the dead cities are much more densely populated than the living; in the latter there are hardly three generations at one time, while, in the former, hundreds of generations are often crowded together. As for the lights you see shining, they are phosphorescent gleams from dead bodies, or rather they are the expiring gleams of thousands of vanished lives; they are the twilight glow of love, ambition, anger, genius, mercy; they are, in short, the last glow of a dying light, of the individuality which is disappearing, of the being yielding back his elements to mother earth. They are - and now it is that I have found the true word - the foam made by the river when it mingles its waters with those of the ocean.' The Angel of Death paused. ("The Friend of Death")
