Joel Rosenberg|A man can be short and dumpy and getting bald but if he has fire, women will like him.
Victoria Osteen|Faith is a continuum, and we each fall on that line where we may. By attempting to rigidly classify ethereal concepts like faith, we end up debating semantics to the point where we entirely miss the obvious - that is, that we are all trying to decipher life's big mysteries, and we're each following our own paths of enlightenment.
Jean Chatzky|If two people cannot live together, both should have the right to opt out of the marriage. In an ideal world, that would be an acceptable solution.
Anne Brontë, The Tenant of Wildfell Hall|We take the names of madmen, because madness is our fate. Terribly melodramatic, that.
Nicholas A. Christakis|As long as you are being true to yourself, you will always find happiness.
B. H. Liddell Hart|Just as a mother finds pleasure in taking her little child on her lap, there to feed and caress him, in like manner our loving God shows His fondness for His beloved souls who have given themselves entirely to Him and have placed all their hope in His goodness.
Charlie Jane Anders, All the Birds in the Sky|A society that has to burn witches to hold itself together is a society that has already failed, and just doesn't know it yet.
William Shakespeare, Hamlet|Not a whit, we defy augury: there's a specialprovidence in the fall of a sparrow. If it be now,'tis not to come; if it be not to come, it will benow; if it be not now, yet it will come: thereadiness is all.
David H. Murdock|To ensure continuing prosperity in the global economy, nothing is more important than the development and application of knowledge and skills.
Anton Chekhov, The Lady With the Little Dog and Other Stories, 1896-1904|I know a secret,and secrets breed paranoia.
Diane Ackerman, The Zookeeper's Wife|Europe enjoyed a heritage of fairy tales alive with talking animals--some almost real, other deliciously bogus-- to spark child's fantasies and gallop grownups to the cherished haunts of childhood. It pleased Antonina that her zoo offered on orient of fabled creatures, where book pages sprang alive and people could parley with ferocious animals.
George Eastman|My parents have been married 50-some years, and I've never heard them fight. I got the chance to attend great universities and medical school.
Charlotte Brontë, Jane Eyre|Do you think, because I am poor, obscure, plain and little, I am soulless and heartless? You think wrong! - I have as much soul as you, - and full as much heart! And if God had gifted me with some beauty and much wealth, I should have made it as hard for you to leave me, as it is now for me to leave you!
Azim Jamal & Brian Tracy, What You Seek Is Seeking You|Every hour, stop and ask: Am I really present in this moment? If not, what are my thoughts focused on? Doing this often will help you return to the present moment.
Captain Jack Sparrow|And maybe she had certain beliefs that if you love somebody, [you're] gonna like them too. And that isn't necessarily true.
Christina Engela, Space Vacation|Wherever you are, be all there.
Sarah Dessen, The Truth About Forever|There is never a time or place for true love. It happens accidentally, in a heartbeat, in a single flashing, throbbing moment.
David Crosby|You do not get to choose the events that come your way nor the sorrows that interrupt your life. They will likely be a surprise to you, catching you off quard and unprepared. You may hold your head in your hands and lament your weak condition and wonder what you ought to do. To suffer, that is common to all. To suffer and still keep your composure, your faith and your smile, that is remarkable. Pain will change you more profoundly than success or good fortune. Suffering shapes your perception of life, your values and priorities, and your goals and dreams. Your pain is changing you,
Pat Pattison|I hereby grant you permission to write crap. The more the better. Remember, crap makes the best fertilizer.
Hermann Hesse, Siddhartha|Everyone can perform magic, everyone can reach his goals, ifhe is able to think, if he is able to wait, if he is able to fast.
Tegan Quin|The best part of having a relationship is getting to call the person or lay down next to them and tell them all the crazy things that happened to you all day long, and in the end that’s what it’s about, kids. It’s not about the sex, it’s not about the money that they give you or whatever. It’s not about how good-looking they are, it’s about, can they listen to you talk for hours and hours and hours about stupid shit that doesn't matter.
Banana Yoshimoto, N.P|It's not like I'm all into nostalgia and history, it's just that I can't stand the way things are now
