Guy de Maupassant, Original Maupassant Short Stories|A gardin is where you can find a whole spectrum of life, birth and death
Frances Wright|It is crucial that members of Congress cast votes that are supportive of the values upon which our nation was founded: equality, freedom, and opportunity for all people.
John F. Kennedy|So the American government lied to the Native Americans for many, many years, and then President Clinton lied about a relationship, and everyone was surprised! A little naïve, I feel!
James  Jones|Thomas slammed his fist on the table, sending eating utensils flying. “Shameful! It is downright shameful that so-called men of God would use religion to manipulate people.”--from Prairie Grace when Thomas learns how the Indian agents and others are stealing from Native Americans
Mary Pipher|Prayer is vastly superior to worry. With worry, we are helpless; with prayer, we are interceding. When I hear sad news, I try to say a prayer for the victims. When I am troubled, I will say a prayer that asks for relief for myself and for all those who suffer as I do. When I am concerned about my relatives or friends I say a short prayer to myself - "May they be happy and free of suffering." Book: Seeking Peace: Chronicles of the Worst Buddist in the World
EfratCybulkiewicz|As in Plato’s myth of the cave, some of us don't stay long enough in one single place, relationship, journey or country but that does not mean we evade reality or makes us unstable. It simply means, we are not very keen to entertain ourselves, for long periods of time, with the same old same old reflections or shadows on the wall, when aware of the existence of the sun; the price for enlightenment, solitude
Donna Brazile|I love discussing social issues, but I'm not interested in scare tactics. I believe there is a way to bring awareness in tandem with forgiveness and love.
Heather Demetrios, Something Real|I don't like seeing myself on camera." But that's not it--that sounds shallow, like I'm worried I'll look fat or something. "It's like somebody is walking on my grave. TV immortalizes you. The episodes are what my family would watch if I died.
Matshona Dhliwayo|If the grass is greener on the other side, try planting better seeds.
Joe Peters, Cry Silent Tears: The Heartbreaking Survival Story of a Small Mute Boy Who Overcame Unbearable Suffering and Found His Voice Again|When you're little you believe whatever your mother tells you, so I assumed it must be true, that I must be inferior to the others in some way.
Nick Hanauer|In a market economy, however, the individual has some possibility of escaping from the power of the state.
Carlos Fuentes|Don't classify me, read me. I'm a writer, not a genre.
Haven Kimmel|Ordinarily my mom just sunk deeper into her corner of the couch and ignored it. She had succesfully ignored a quarter of a century of entropy and decay, had sat peacefully crunching popcorn and drinking soda while the house fell down around us. If I had to guess the number of books she read during that time, I would place the number at somewhere in the neighborhood of forty thousand.
Ava Harrison, Imperfect Truth|Are you able to open to the possibility that what you want is not what you need right now? If it was what you needed it would be in your life, right now, and it would come effortlessly.
R. Scott Bakker, The White Luck Warrior|Zsoronga, Sorweel was beginning to realize, possessed the enviable ability to yoke his conviction to his need — to believe, absolutely, whatever his heart required. For Sorweel, belief and want always seemed like ropes too short to bind together, forcing him to play the knot as a result.
Gwynne Shotwell|In Toronto, I grew up taking a subway, I grew up taking a bus. I spent my formative adult years in New York City, walking the streets, taking the subway. You're connected to the larger whole. L.A. is so spread out, and you're so incubated inside those cars and it's so exhausting to deal with the traffic, without really having the human contact.
Richard P. Gabriel|You’re probably better at math than I am, because pretty much everyone’s better at math than I am, but it’s okay, I’m fine with it. See, I excel at other, more important things—guitar, sex, and consistently disappointing my dad, to name a few.
Poppet, Aisyx|Oh baby, your planet sounds like paradise but it just doesn't fly down here in the trenches.
Sherman Alexie, The Absolutely True Diary of a Part-Time Indian|I always think it's funny when Indians celebrate Thanksgiving. I mean, sure, the Indians and Pilgrims were best friends during the first Thanksgiving, but a few years later, the Pilgrims were shooting Indians.So I'm never quite sure why we eat turkey like everybody else.
