Marcia Lynn McClure, The Pirate Ruse|We should learn to smile as we fall, So much so as when we have it all.
Alexandra Fuller, Don't Let's Go to the Dogs Tonight|After a little while you became aware of how still it was out here. Now, looking back on my life in Africa, I feel like it might altogether be described as the existence of a person who had come from a rushed and noisy world, into a still country.
Sangu Mandanna, The Lost Girl|If you expect the worse, you're only denying someone a chance to be better
Jodi Picoult, House Rules|I [Jacob Hunt, Aspie] see it as the next step of evolution: I cannot take away your sadness, so why should I acknowledge it?
Kapil Sibal|I'm not much involved in sports, and I don't play, either.
Courtney Summers, All the Rage|He's an egotistical dickhead who's going to chew you up and spit you out; and you have a really awful history of falling for assholes that you ought to run screaming from; and I don't feel like sitting around listening to you try to convince yourself you don't still feel something for Campbell Alexander when, in fact, you've spent the past fifteen years trying to fill in the hole he made inside you.
Stephen Hawking|Remember to look up at the stars and not down at your feet. Try to make sense of what you see and wonder about what makes the universe exist. Be curious. And however difficult life may seem, there is always something you can do and succeed at. It matters that you don't just give up.
Billy Graham, Billy Graham in Quotes|If anything has been accomplished through my life, it has been solely God’s doing, not mine, and He—not I—must get the credit.
Mokokoma Mokhonoana|Back then, work revolved around life. Today, life revolves around work.
Sara Shepard, Pretty Little Liars|I kind of have to go to the bathroom," Aria said woozily.Ezra smiled. "Can I come?
Dan Wells, I Am Not A Serial Killer|I slowly climbed back to my feet, walked back into the emergency department through the silently swishing glass doors, and, covered in my girlfriend's blood, lied perfectly for the first time in my life. "I tried to stop her.
Markus Zusak|It is only when you open your veins and bleed onto the page a little that you establish contact with your reader. If you do not believe in the characters or the story you are doing at that moment with all your mind, strength, and will, if you don't feel joy and excitement while writing it, then you're wasting good white paper, even if it sells, because there are other ways in which a writer can bring in the rent money besides writing bad or phony stories.
Milton Babbitt|Music, I feel, must be emotional first and intellectual second.
Aleksandr Solzhenitsyn, The Gulag Archipelago 1918-1956|Just as King Midas turned everything to gold, Stalin turned everything to mediocrity.
Sunday Adelaja|We are sons of God, called to reveal God, to make him visible on this earth
Dan Simmons, Hyperion|All those before us have gone into the darkness without assurance of logic or fact or persuasive theory, with only a slender thread of hope or all too shakable convention of faith. And they have been able to sustain that slim hope in the face of darkness, then so must I.
Alice Randall, Ada's Rules: A Sexy Skinny Novel|We are taught to think ourselves ugly. Eyes are an assaulted sense. We are taught to behave by spankings and whippings. Touch is an assaulted sense. We are taught we should not smell, or we smell wrong. Smell is an assaulted sense. We listen to songs that call us 'hos and tell us how to give blow jobs. Hearing is an assaulted sense. Taste, not so much.
William Shakespeare, Cymbeline|The pow'r I have on you is to spare you / The malice towards you, to forgive you. Posthumus
Viktor E. Frankl, Man's Search for Meaning|When we are no longer able to change a situation, we are challenged to change ourselves.
Jay-Z|Nothing is cooler and more attractive than a big comeback, and that'll be me.
