Michael Faudet, Dirty Pretty Things|Unbutton, unzip, unclip, untie, undo, undress.”“Understood,” she replied.
Larry McMurtry, Lonesome Dove|An innate, typically fixed pattern of behaviour is our instinct. A sense of intuitive thought/feeling. An urge, an inner prompting, a drive, a compulsion. That quirky urge, that little voice inside you, those gut feelings is what emerges naturally within you in a particular situation to react with outer world. Every instinct is an impulse. Feel it, trust it, follow it, because when you've whittled down your options and are stuck at a crossroads, that is what gets you through it! That good old instinct feeling
Eli Easton, A Prairie Dog's Love Song|The tiny focal points of pain still glowed on his nerve endings, like stars coming into view one by one in a dark, bare sky. One by one—in the middle of his buttock, just below his collarbone, on the inside of his thigh—more stars came into focus, each glowing brightly at first before settling into the same intensity as the ones before, slowly forming a constellation.
Les Brown|I used to think that divorce meant failure, but now I see it more as a step along the path of self-realization and growth.
Virginia Alison|You are unique in the world, a friend like no other. It’s so amazing that we have so much in common so your happiness is also mine.
Jessica Pan, Graduates in Wonderland: The International Misadventures of Two (Almost) Adults|I know so much is going to happen here, but I just don't know how. It feels like Paris is full of so many adventures just waiting to be had.
Bram Stoker, Dracula|Don’t be tossed away by your monkey mind. You say you want to do something—“I really want to be a writer”—then that little voice comes along, “but I might not make enough money as a writer.” “Oh, okay, then I won’t write.” That’s being tossed away. These little voices are constantly going to be nagging us. If you make a decision to do something, you do it. Don’t be tossed away. But part of not being tossed away is understanding your mind, not believing it so much when it comes up with all these objections and then loads you with all these insecurities and reasons not to do something.
Ray Bradbury|A library was nothing without its people. You say library and there’s this iconoclastic image of an old-lady librarian telling people to be quiet and not to run. But the thing was, that lady—that iconoclastic lady—was with us when we cleaned. She wore blue jeans, too. Maybe she was what people thought about when you said library, but she didn’t make the library. People made the library. That’s what made a library. Without them, all the sacredness was gone. It was just a building with books.
Temitope Owosela|Since I am suffering with type 2 bipolar disorder mainly on the depressive side of the bipolar disorder.I am not afraid nor am I disappointed with it; if this is what God Almighty want me to have; I will make sure that I will make good use of this disorder; and, be the best person that I can be.
Trey Parker|The obviously inexperienced pilot is the game the scientific air-fighter goes after, and the majority of victories are won that way. But, on the other hand, it is the novice usually who gets the famous ace by doing at some moment the unexpected thing.
Angelica Hopes|It was possible to love life, without loving your life.
Lailah Gifty Akita|I have gone astray many times, but Now, what matters is the mercy of God's grace that guides me in the right path.
James Monroe|If children do not understand the Constitution, they cannot understand how our government functions, or what their rights and responsibilities are as citizens of the United States.
Jessie Clever, For Love of the Earl|The engorged moon hung full and low in the sky like a yellow skull. Misshapen clouds stretched across the floating orb with elongated hands and bony fingers grasping. As they neared the docks, the gas lamps grew fewer and the streets gloomier. The cobblestones blackened as they passed the deserted brickfields. Bottle-shaped kilns spat their outrage with orange tongues of fire into the cooling air. Mangy dogs snarled in hunger and wandering sea-gulls screamed their displeasure at the hansom’s passage.
Veronica Roth, Allegiant|Yeah, sometimes life really sucks," she says. "But you know what I'm holding on for?"I raise my eyebrows.She raises hers, too, mimicking me."The moments that don't suck," she says. "The trick is to notice them when they come around.
Deb Caletti, The Queen of Everything|It's good to let God pick a man for you. We don't do so well when we pick them ourselves. They end up lipsticks in a drawer, all those wrong colors you thought looked so good in the package.
Hopal Green|Look into yourself, Think about what you will need in the long run and not what you think you want now. #wisdom!
Alain de Botton|The romantic person instinctively sees marriage in terms of emotions, but what a couple actually gets up to together over a lifetime has much more in common with the workings of a small business. They must draw up work rosters, clean, chauffeur, cook, fix, throw away, mind, hire, fire, reconcile, and budget.
