Kim Stanley Robinson, The Years of Rice and Salt|It is a long time ago. So many lives ago--I get them all confused, don’t you?
Susan C. Young, The Art of Body Language: 8 Ways to Optimize Non-Verbal Communication for Positive Impact|Look for all of the possible missteps in the following scenario. My friend Amy arrived at a consultation with her Hispanic business partner. The African American woman to whom they were delivering their presentation was a long-time friend of her partner’s. Her partner was greeted with a hug and Amy was greeted with a handshake. The meeting was a great success.As it came to a close, the two friends hugged. With enthusiastic affection, Amy went to hug the African American client. The woman took a step, turned her shoulder to block the hug, and looked at Amy with dismissive anger. It was almost a defensive move. Her partner, recognizing this, put her arm around Amy to soften the situation and make light of the inappropriate gesture. Everything turned out fine, but Amy was baffled by the barrier. She was confused by the woman’s reaction since their interaction had been cordial and positive. She wondered if she had been socially insensitive or culturally inappropriate. After much reflection, however, she realized that she had simply been too quick to assume familiarity. Thankfully, she earned and learned the lesson quickly to become more aware. Amy eventually earned the trust of her client and secured her valuable business.
John Heywood|For me, life has either been a wake or a wedding.
Debasish Mridha|When every heart is filled with peace and every mind is searching for peace, how can there be war?
Michael Bassey Johnson|A very serious mental disorder is associated with creativity, a disorder that afflicts only the great souls, and its cure is not known, even to the great souls”.
Matt Keener, Executive in Sweatpants: A Handbook for Launching Your Work from Home Career|A major reason many Americans still struggle to find meaningful work is because they are using tactics from the 1990s and early 2000s. The future for employment is now here...and it's online."~February 21, 2013 as featured by CBS Money Watch
Thomas à Kempis, The Imitation of Christ|God hath thus ordered it, that we may learn to bear one another’s burdens; for no man is without fault, no man without his burden, no man sufficient of himself, no man wise enough of himself; but we ought to bear with one another, comfort one another, help, instruct, and admonish one another.
P.S. Martinez|Seriously, this old woman had no idea how close she came to being squashed like a roach. -Sage Hannigan, Contingency
B.G. Bowers, Death and Life|I was lost in a void of perpetual darkness. Disconnected from myself. Turned inside out. No sign of life. Eventually, the darkness was my light and the void a haven – a quiet place where I could nurse my secret and lick my wounds.
Nia Forrester, The Seduction of Dylan Acosta|I think it's nice for stars to do interviews to make us think they are just like us, but to tell you the truth, I get the feeling that it's all a big lie. The problem is I don't know who's lying.
Brenda Ueland, If You Want to Write: A Book about Art, Independence and Spirit|Don't always be appraising yourself, wondering if you are better or worse than other writers. "I will not Reason and Compare," said Blake; "my business is to Create." Besides, since you are like no other being ever created since the beginning of Time, you are incomparable. 
Matshona Dhliwayo|When you lead the wise, walk behind them.When you lead the virtuous, walk beside them.When you lead the imprudent, walk in front of them.
Lailah Gifty Akita|I also don’t think there’s any shame in saying that when I was raped, I became a victim, and to this day, while I am also many other things, I am still a victim.
Les Brown|We love our planet Earth. We should - it is our home, and there's no place like home. There can't ever be a better place than Earth.
Mark Buchanan, Your God Is Too Safe: Rediscovering the Wonder of a God You Can't Control|Although we should affirm the wonder and mystery of sexual intimacy and romantic attraction as God's good creations, we need to set these aesthetic enjoyments within the context of the Christian virtues of fidelity, self-sacrifice, and patience in suffering.Bringing this together, our pastoral approach should be double-edged, seeking to challenge our culture's worship of sexual desire and personal fulfillment while offering a different vision of human flourishing. Christian formative involves both RESISTANCE and REDIRECTION. But is is the redirection of our desires that enables our resistance of cultural idolatries. Failure to attend to the dynamics of our desires leads to inevitable self-deception regarding the 'freedom' of our actions. Especially within our sexual lives, our hearts must be truly captivated by the goodness of the Christian vision of life, so that our whole self is drawn toward it, or our commitment to live in tune with it will be brittle.
Sarra Manning, Adorkable|Learning how to balance the needs of individuals with the no-less-real needs of an institution was an important lesson. It's fine to be on the side of the little guy, but he too will ultimately suffer if the health and concerns of the greater body he belongs to are neglected.
