Kemi Sogunle|You cannot be a light to others or yourself, if you have dark intentions in your heart.
Henrik Ibsen, Ghosts|One IGHS member said that, yup, she could hear it, too. Then again, during a dinner conversation earlier in the trip, this same woman heard “Siegfried and Roy” as “Sigmund Freud.” The resulting image-Sigmund Freud with flowing hair and tigers and too much men’s makeup-haunts me to this day.
Woody Allen|I'd call him a sadistic, hippophilic necrophile, but that would be beating a dead horse.
Jefferson Davis|The very concept of history implies the scholar and the reader. Without a generation of civilized people to study history, to preserve its records, to absorb its lessons and relate them to its own problems, history, too, would lose its meaning.
Kahlil Gibran, The Prophet|You talk when you cease to be at peace with your thoughts;And when you can no longer dwell in the solitude of your heart you live in your lips, and sound is a diversion and a pastime.And in much of your talking, thinking is half murdered.
Edward Abbey, Postcards from Ed: Dispatches and Salvos from an American Iconoclast|The ugliest thing in America is greed, the lust for power and domination, the lunatic ideology of perpetual Growth - with a capital G. 'Progress' in our nation has for too long been confused with 'Growth'; I see the two as different, almost incompatible, since progress means, or should mean, change for the better - toward social justice, a livable and open world, equal opportunity and affirmative action for all forms of life. And I mean all forms, not merely the human. The grizzly, the wolf, the rattlesnake, the condor, the coyote, the crocodile, whatever, each and every species has as much right to be here as we do.
Anne Brontë, Agnes Grey|We’ll walk this road together, through the storm. Whatever weather, cold or warm.
Caitlin Moran|I am eating this noise like mouthfuls of freezing, glittering fog. I am filling with it. I am using it as energy. Because what you are, as a teenager, is a small, silver, empty rocket. And you use loud music as fuel, and then the information in books as maps and coordinates, to tell you where you're going.
Mark Galli, Chaos and Grace: Discovering the Liberating Work of the Holy Spirit|The wealthy, Jesus says, can only get into heaven through the eye of a needle; the same applies to churches wealthy in numbers and programs.
Nelson Mandela|To give real service you must add something which cannot be bought or measured with money, and that is sincerity and integrity.
Joseph Guth|The earth is an orbiting speck in incomprehensible vastness. The histories of our civilizations, our accomplishments and secrets, great good and evil—these are no more significant than the single twinkle of a star. Perhaps, this is why we try to outshine the heavens with our cities and make theatrical events of our simple lives.
Dave Eggers, What Is the What|I will tell these stories...because to do anything else would be something less than human. I speak to these people, and I speak to you because I cannot help it. It gives me strength, almost unbelievable strength, to know that you are there. I covet your eyes, your ears, the collapsible space between us. How blessed are we to have each other? I am alive and you are alive so we must fill the air with our words. I will fill today, tomorrow, every day until I am taken back to God. I will tell stories to people who will listen and to people who don't want to listen, to people who seek me out and to those who run. All the while I will know that you are there. How can I pretend that you do not exist? It would be almost as impossible as you pretending that I do not exist.
Jane Austen, Emma|the only source whence any thing like consolation or composure could be drawn, was in the resolution of her own better conduct, and the hope that, however inferior in spirit and gaiety might be the following and every future winter of her life to the past, it would yet find her more rational, more acquainted with herself, and leave her less to regret when it were gone.
Neetesh Dixit|In ticking off the things that weren’t done, it was easy to forget the big thing that was done. Against overwhelming odds, with the most meager resources, and often at fearful self-sacrifice, a few determined men reversed the course of the war in the Pacific. Japan would never again take the offensive. Yet the margin was thin—so narrow that almost any man there could say with pride that he personally helped turn the tide at Midway. It was indeed, as General Marshall said in Washington, “the closest squeak and the greatest victory.
Mark Frauenfelder|I'm constantly learning, and that is the greatest gift of life in my opinion - to always be learning and growing.
Aldous Huxley, Science, Liberty And Peace|There is an unnatural unfitness in an aristocracy to be legislators for a nation. Their ideas of distributive justice are corrupted at the very source. They begin life trampling on all their younger brothers and sisters, and relations of every kind, and are taught and educated so to do. With what ideas of justice or honor can that man enter a house of legislation, who absorbs in his own person the inheritance of a whole family of children, or metes out some pitiful portion with the insolence of a gift?
