Joseph Prince|I like people and I like them to like me, but I wear my heart where God put it, on the inside.
Stephanie Hudson, The Triple Goddess|Don't worry Toots, I told ya before, you don't have the right equipment to tempt me but if my tastes ever change from muscle to moobs then I might jump you.
Jillian Keenan, Sex with Shakespeare: Here's Much to Do with Pain, but More with Love|If I could mimic the dynamic of any Shakespearean marriage, I’d choose to mimic the Macbeths—before the murder, ruthless ambition, and torturous descents into madness and death, that is.
Vladimir Putin|Next to power without honor, the most dangerous thing in the world is power without humor.
Anonymous, Holy Bible: King James Version|Whoever can be trusted with very little can also be trusted with much, and whoever is dishonest with very little will also be dishonest with much
Zendaya|I look at other people my age in this industry, other famous people my age, and they've just got famous friends. Which is cool, but I love being normal and just chilling at mine.
Ophelia London, Love Bites|You want a wild ride, J.J.? I'll give it to you, hard and slow until you scream my name.
Daniel Bell|Religion was nearly dead because there was no longer real belief in future life; but something was struggling to take its place - service - social service - the ants creed, the bees creed.
Elizabeth E. Castillo|Courtesy, not control, that was His means. Just as He requested the stars to sing and they leapt into bright being, so request was to be their rule over bird and beast, seas and trees, mountains and moons and all the dancing distances between the heavenlies filled with the unending song of Creation.
Hal Zina Bennett, Write from the Heart: Unleashing the Power of Your Creativity|The art of writing is not as solitary as one might think. When it finally dawns on us one day that our task as writers is to share what we know of the human spirit, we suddenly discover that we were never truly alone.
Richelle E. Goodrich, Slaying Dragons|Curiosity killed the cat, but not before teaching her that honey bees are not sweet, tweeting birds are slow to react, mice can serve as both toys and food, big dogs like to snuggle, falling isn’t flying, cream drips from lazy cows, water should be avoided at all costs, baths don’t require getting wet, kindness and cruelty often fall from the same hand, and engines remain comfortably warm long after the motor dies.
C.S. Lewis|He's not safe, but he's good (referring to Aslan, the Lion, in The Lion, the Witch and the Wardrobe)
Dean Koontz, Odd Thomas|The less I have, the less I can lose.
Paul Silway, Heaven I - Paradise: The City and Throne|Great achievers are great thinkers and great thinkers, are great achievers.
Geoffrey Wood|If we can keep the Christians thinking of themselves as sinners not sons and daughters, we can make them view their relationship to The Adversary as a negative-sum-game: They fall in a hole, He pulls them out, they fall back in, etc... That way they never get anywhere; they’re always either standing next to a hole or down in it.
Oliver|The Doktor was very vond, I mean fond of Vluffy, so he gave him a flame-proof doggie-jacket. It was dull grey, but it had a tartan pattern on it. Vluffy liked his doggie-jacket and wore it all the time. When things went ‘bang’ he could just roll over, dust himself off and quickly scamper off with the doggie jacket flapping on his back. So in short, Vluffy was a very happy little dog who spent a lot of his time hiding under furniture. But the point is that he’d had a lot of time. Much more than those who went (up in smoke) before him.
Alan Gratz|I just have to make it to the Tuichi' I mumbled to myself, 'I just have to make it to the Tuichi'.Alone, deep in the jungle, so small and insignificant, pitted against nature, still I sensed someone was watching me. Or watching over me.Someone could see me, someone was providing for me
Vikrmn, Guru with Guitar|Never ever let anyone take the charge of your Guitar called LIFE. Tune your Dreams, for you are the composer of the tracks of your life. Why do you wait? What are you scared of?
