Faisal Nawaz Maitlo|Those people make us strong and then valuable, whom we do not like initially.
C.S. Lewis, Letters to Children|In writing. Don't use adjectives which merely tell us how you want us to feel about the thing you are describing. I mean, instead of telling us a thing was "terrible," describe it so that we'll be terrified. Don't say it was "delightful"; make us say "delightful" when we've read the description. You see, all those words (horrifying, wonderful, hideous, exquisite) are only like saying to your readers, "Please will you do my job for me.", 26 June 1956]
Debasish Mridha|It's not the glitter, but the love, that makes things beautiful.
Alice Walker, The Color Purple|Masculinity is part of a binary and requires its opposite, since, in the absence of femininity, masculinity would have no meaning.
Anisha D'souza|Your current life is the result of your previous choices, if you want something different, begin to choose differently.
Steven J. Lawson|Let this change you. Let this take hold in the very center of your soul. Write it on the walls of your heart. Let this emanate through every part of you, and trickle into every aspect of your life. 	You were not designed to be merely a good person, but that through the experience of mortality you could embrace the divinity you were created with. I do not merely want you to get along with others, but for everyone to be one, and one in me. Not for my glory, but that the glory of godliness will exalt you to a higher plane of existence, beyond anything you've ever imagined. 	Throw out weakness and fear; rid yourself of those spoiled garments. Adorn yourself with new garments, spotless and pure. Be reborn. Set your hand to the plow and look not back. Take that first step onto the water; do not fear the wind or the waves, for it is I your Lord and Savior who beckon you. Listen o listen to my voice, which is the voice of the Good Sheppard who calls you; for why should ye parish for naught?’	Parker, the bar has been set, for you and for I, and all the rest of humanity should we chose to accept the invitation,” Flavius concluded powerfully.
Nikola Telsa, The Problem of Increasing Human Energy|Our virtues and our failings are inseparable, like force and matter. When they separate, man is no more.
C.S. Lewis, The Problem of Pain|Learning to think rigorously, so as to act rightly and to serve humanity better.
Andrew Murray|Ask and you shall receive; everyone that asks receives.  This is the fixed eternal law of the kingdom:  If you ask and receive not, it must be because there is something amiss or wanting in the prayer. Hold on; let the Word and Spirit teach you to prat aright, but do not let go the confidence he seeks to waken:  Everyone who asks receives....Let every learner in the school of Christ therefore take the Master's word in all simplicity....Let us beware of weakening the word with our human wisdom.
Pharrell Williams|I've always loved music, but I never really played anything. After 'Walk the Line' and learning to play guitar, and having that sense of performing, I think that certainly opened the door for me, for music.
Shannon L. Alder|A relationship run by rules, instead of love is a relationship that is on the road to failure.
Scott Nearing|The best doctors in the world are Doctor Diet, Doctor Quiet, and Doctor Merryman.
Adriana Trigiani, Viola in Reel Life|But what Mom never told me is that along the way, you find sisters, and they find you. Girls are cool that way.
Zack Love, Sex in the Title: A Comedy about Dating, Sex, and Romance in NYC|People should think that being a writer is cool. Even if you’re just a starving writer. Besides, most great writers were starving at one point or another. It comes with the title.
Graham Joyce, The Silent Land|There are certain songs, and books, and films that are like points of high ground in the memory. Like they are even larger than your own experiences. They never go away.
Jim Butcher, Death Masks|It came charging toward me, several hundred pounds of angry-looking monster, and I did the only thing any reasonable wizard could have done.I turned around and ran like hell.
Jessica Lee, Undying Desire|Eve turned away as a whispered “yes, ma'am” reached her ears. She closed her eyes and breathed deeply. Why was she saving this asshole? Eve opened her eyes and unlocked the heavy steel bolt securing the five-by-two slab of oak. She looked back, ready to give him the signal to haul ass, when all the air punched from her lungs.Naked.It was the only word her stunned mind could form. Eve spun in place, and her rear bumped against the door. Guerin stood there, completely nude, with his briefs and coat in his grip.“W-wh-what are you doing?” Dear God, she was stuttering like a young girl who'd never seen “boy parts” before.
Charlotte Bronte|They tell me that it will be hard to find a man strong enough to love my own strength and independence, and not worry about being Mr. Diana Ross, but I disagree. I know absolutely that that man is somewhere out there.
