Thomas Huxley|I'm not broke. Like everybody else, I owe money.
Ilchi Lee, Change: Realizing Your Greatest Potential|When we look at something, we are often not aware of who is perceiving, and unaware of the mental-emotional filter created by past experiences, hopes and expectations.
Dominic Riccitello|You didn’t understand the poem, but that was because it wasn’t for you. It was for me to understand the pain you put me through.
Erik Larson|Don’t conclude so fast, you may never know what is behind the fact you know!
Kathleen Parker|I don't think we really think about where we get our equality from. There is a sense of feminism and women become passe, in my opinion.
Michael Moore|A government run by billionaires for billionaires is an affront to freedom, morality, and humanity.
Lukhman Pambra|What more crime can a woman commit by suffocating her sensuous body behind the tight dress. Stay Nude, Breathe Life!
Michael Johns|The writer may very well serve a movement of history as its mouthpiece, but he cannot of course create it.
Isabel Allende, Maya's Notebook|As my Popo used to say, life is a tapestry we weave day by day with threads of different colors, some heavy and dark, others thin and bright, all the threads having their uses. The stupid things I did are already in the tapestry, indelible, but I’m not going to be weighed down by them till I die. What’s done is done; I have to look ahead.
Khang Kijarro Nguyen|If nostalgia holds you hostage,the ransom is the present.
Sonja Livingston, Queen of the Fall: A Memoir of Girls and Goddesses|Those are the facts but not the truth, which does not even speak the same language.
Julie Gregory, Sickened: The Memoir of a Munchausen by Proxy Childhood|I learned in therapy the word "No" is a complete sentence.
Julie Klassen, The Silent Governess|Come to think of it, she did not speak a word. Yet I could have sworn she had the most beautiful voice.
Neale Donald Walsch|To travel a circle is to journey over the same ground time and time again. To travel a circle wisely is to journey over the same ground for the first time. In this way, the ordinary becomes extraordinary, and the circle, a path to where you wish to be. And when you notice at last that the path has circled back into itself, you realize that where you wish to be is where you have already been ... and always were.
Billy Graham, Billy Graham in Quotes|It is Satan’s purpose to steal the seed of truth from your heart by sending distracting thoughts . . . The difference between a Christian and a non-Christian is: though they both may have good and evil thoughts, Christ gives His followers strength to select the right rather than the wrong.
Twyla Tharp, The Creative Habit: Learn It and Use It for Life|Shirley: "Christopher, would you like to tell Olivia what "F.I.N.E" means?"Christopher: "Fucked-up, Insecure, Neurotic, and Emotional"...Olivia: "But what if you really do feel fine?"Shirley: "Christopher, care to answer that?"Christopher: "Um, there's no such feeling as fine.
Gordon B. Hinckley|Now, brethren, do not expect perfection in your choice of a mate. Do not be so particular that you overlook her most important qualities of having a strong testimony, living the principles of the gospel, loving home, wanting to be a mother in Zion, and supporting you in your priesthood responsibilities.Of course, she should be attractive to you....And one good yardstick as to whether a person might be the right one for you is this: in her presence, do you think your noblest thoughts, do you aspire to your finest deeds, do you wish you were better than you are?
Israelmore Ayivor, Daily Drive 365|Before your mother's conception of you, God knew you; before His ‪consecration of you, He had up set your assignments right! You are not an accident!‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬
John Taliaferro, All the Great Prizes : The Life of John Hay, from Lincoln to Roosevelt|We know not which most to wonder at, the faithfulness of God or the unbelief of His people. He keeps His promise a thousand times, and yet the next trial makes us doubt Him. He never faileth; He is never a dry well; He is never as a setting sun, a passing meteor, or a melting vapour; and yet we are as continually vexed with anxieties, molested with suspicions, and disturbed with fears, as if our God were the mirage of the desert.
Kat Rosenfield|No person is completely wicked, just as no person is perfect. We are all grey
Plato|Wise men talk because they have something to say; Fools, because they have to say something.
