Jules Renard|Old age is like a plane flying through a storm. Once you're aboard, there's nothing you can do.
Paulo Freire, Pedagogy of the Oppressed|The truth is that every intelligent man, as you know, dreams of being a gangster and of ruling over society by force alone. As it is not so easy as the detective novels might lead one to believe, one generally relies on politics and joins the cruelest party.What does it matter, after all, if by humiliating one's mind one succeeds in dominating every one? I discovered in myself sweet dreams of oppression.
Izey Victoria Odiase|3 Types of People You Will Encounter. Those who:1) Promise and Deliver,2) Under-promise and Over-deliver,3) Over-promise and Under-deliver.
Richard Smyth, Wild Ink|There are too many years around this table, too much time confined in one place.
Amy Leigh Mercree|True love begins when you accept yourself in your totality. Then, and only then, can you completely love another.
Paul Rand, Paul Rand: A Designer's Art|The artist is a collector of things imaginary or real. He accumulates things with the same enthusiasm that a little boy stuffs his pockets. The scrap heap and the museum are embraced with equal curiosity. He takes snapshots, makes notes and records impressions on tablecloths or newspapers, on backs of envelopes or matchbooks. Why one thing and not another is part of the mystery, but he is omnivorous.
Kevin Hosey|The winged human glanced towards Retina briefly. “It’s okay Dr. Blade. Scientists should never be blown away from the nature of facts.” Roma smiled. “And by scientists, are you one?” “That is dependent on your opinion Dr. Hill. I’m well versed by Dr. Sangha.” Roma moved towards him, narrowing his eyes. “It is my opinion that no respectable scientist will allow himself to be a subject of ridicule by turning in his human DNA to become a freak, a beast or whatever the hell it is you think you are.” The winged human was unaffected. “I’m sure Dr. Hill that freak or beast doesn’t apply.” Roma drew his head back slightly, studying the demeanor of the winged human. “What’s your name?” “I’m Seganus,” he replied humbly. Roma moved a little closer to him wearing a deep frown. “You don’t think the word freak or beast applies?” “No. I don’t think so.” “Is that the carnivorous beaks of the Titanis Walleri I see on you?” “No.” “Can you hold the 360 Degrees field of view of the Woodcock.” “No.” “The long bills of the Australian Pelican?”“No.” “Do you lay the large eggs of the Ostrich?”“Dr. Hill,” Retina cautioned. Lorenzo seemed amused by the situation. He was smiling.“No,” Seganus replied. Roma continued. “Then you’ll say you don’t have those qualities birds posses?”“No.” “You’ll say you’re human?” Seganus blinked before he spoke. “Yes.” Roma moved closer to him. “Then why the freaks are you wearing wings?
Marty Rubin|Black people are not the descendants of kings. We are—and I say this with big pride—the progeny of slaves. If there’s any majesty in our struggle, it lies not in fairy tales but in those humble origins and the great distance we’ve traveled since. Ditto for the dreams of a separate but noble past. Cosby’s, and much of black America’s, conservative analysis flattens history and smooths over the wrinkles that have characterized black America since its inception.
A.J. Darkholme, Rise of the Morningstar|If you plan for failure, then you are expecting to fail. If you plan for success, you’ll be successful. Once you start making a ‘Plan B’, you distract from ‘Plan A’, and the moment you start believing there are other options, you start settling for less.
Sunday Adelaja|I felt his voice. Fingers rubbing moss. Smoke curling. Wood worn and smoothed over time. His voice had darkness in it that hovered close to the ground, like a mist hanging over a lake deep in a forest at dusk. A bolt of sea-green velvet. A sensation as much as a series of sounds. It reverberated inside me.
ZIZEK|Pure sex is masturbation with a real partner who functions as a prop for our indulging in fantasies, while it is only through love that we can reach the … Other.
