Victoria Schwab, Our Dark Duet|If you want to prosper, prosper God.
Paul Monette, Becoming a Man: Half a Life Story|Don't worry, I can't be bothered! You're not worth the trouble it would take to hit you! You're not worth the powder it would take to blow you up. You are an empty, empty, hollow shell of a woman. I mean, what the hell are you doing in my house if you hate me so much? Why the hell are you married to me? What the hell are you doing carrying my child? I mean, why didn't you just get rid of it when you had the chance? Because listen to me, listen to me, I got news for you - I wish to God that you had!
Christian D. Larson|As the doctor treated the wound, Mazer said, " I don't care how much you eat, Ender, self-cannibalism won't get you out of this school.
Siri Hustvedt|The great enemy of the truth is very often not the lie, deliberate, contrived and dishonest, but the myth, persistent, persuasive and unrealistic.
Lailah Gifty Akita|Born to fly, endless possibilities.
Karla M. Nashar, Bellamore: A Beautiful Love To Remember|Our eyes tell us what we want to believe, but our heart tells us only the simple truth
Carolina De Robertis, Radical Hope: Letters of Love and Dissent in Dangerous Times|You will get closer to the truths only when you start thinking this way: My religion is not the best religion, my country is not the best country, my culture is not the best culture, and my life is not the best life! The more you move away from arrogance, pride and prejudice, the more you will get closer to the truth!
John Berger|Listen to other people tell their story, but don't believe them. You know that it's just a story that is only true for them, but listen because the communication can be wonderful.
Jalaluddin Rumi|What can I do, Muslims? I do not know myself.I am neither Christian nor Jew, neither Magian nor Muslim,I am not from east or west, not from land or sea,not from the shafts of nature nor from the spheres of the firmament,not of the earth, not of water, not of air, not of fire.I am not from the highest heaven, not from this world,not from existence, not from being.I am not from India, not from China, not from Bulgar, not from Saqsin,not from the realm of the two Iraqs, not from the land of Khurasan.I am not from the world, not from beyond,not from heaven and not from hell.I am not from Adam, not from Eve, not from paradise and not from Ridwan.My place is placeless, my trace is traceless,no body, no soul, I am from the soul of souls.I have chased out duality, lived the two worlds as one.One I seek, one I know, one I see, one I call.He is the first, he is the last, he is the outer, he is the 
Ian Frazier|I'm more likely to give you a cuddle than a punch in the face. I have a soft side, especially with my girlfriend. I send her flowers and use my culinary skills to pull off romantic meals. I do great Thai dishes.
Neil deGrasse Tyson, Space Chronicles: Facing the Ultimate Frontier|Time does not give one much leeway: it thrusts us forward from behind, blows us through the narrow tunnel of the present into the future. But space is broad, teeming with possibilities, positions, intersections, passages, detours, U-turns, dead-ends, one-way streets. Too many possibilities, indeed.
Jordan Hoechlin|Whenever you come upon a free supply of high-quality corn, provided unexpectedly right there in the middle of the forest, be careful! The people who put it there are probably sitting nearby in a stand, just waiting to take a shot at you. Keep your eyes and ears open!
Uma Nnenna|Ugh, writer's block. The best thing to do is to forget about everything you're trying to do. Get away from your writing station, kick your feet up and relax. Then allow your mind to just wander. Don't stop it. Just let yourself think of anything, no mater how silly the thoughts seem. Remember, not to judge these thoughts. This will open up your creative receptors. You'll begin to think outside the box. Then the good stuff will start racing through you. That's when you start writing!
Sarah J. Maas, Heir of Fire|They had taken to the movement unlike anything he had ever seen, and he thought that should this venture of the Jews prove successful, the new state would be filled with dancers and musicians, but especially dancers, for dancing like nothing else says: I am still alive.
Jennetta Billhimer, Wise Childbearing: What You'll Want to Know as You Make Your Birth Choices|To insure good health: Eat lightly, breathe deeply, live moderately, cultivate cheerfulness, and maintain an interest in life.
