David Archuleta, Chords of Strength: A Memoir of Soul, Song and the Power of Perseverance|I made up my mind not to care so much about the destination, and simply enjoy the journey.
Maz Jobrani|Your competition is not other people but the time you kill, the ill will you create, the knowledge you neglect to learn, the connections you fail to build, the health you sacrifice along the path, your inability to generate ideas, the people around you who don't support and love your efforts, and whatever god you curse for your bad luck.
Melina Marchetta, Saving Francesca|Now there's something I understand a little better. Hate, sadness, even joy. to be able to share it with another person...Naruto Uzumaki from fighting him i learned that. he knew pain like i did and then he taught me that you can change your path. I wish that one day i can be needed by someone. Not as a frightening weapon...But as the sand's Kazekage.
Garth Nix, Clariel|Not only did he unleash his emotions through rivers of tears, but for several days he denied his body food so he could pray and seek the God of heaven.
Astrid Amara, Half Pass|He was like a lot of Warmbloods, massive and showy and a bit of a dumb jock...
Chris Matakas, My Mastery: Continued Education Through Jiu Jitsu|I fear that I bore you with these details, but I have to let you see my little difficulties, if you are to understand the situation.
Behnam Rajabpoor|Stop Feeling Sorry For Yourself".
Frank Zappa|The rock and roll business is pretty absurd, but the world of serious music is much worse.
Jodi Picoult, Vanishing Acts|Our greatest hope does not rest in the death of suffering. Neither does our help lie in us having a full and perfect life, with no pain, no brokenness, and no Lyme disease. Instead our hope lies in God and we hope in the fact that this is our temporary home and our forever home with Him in Heaven is perfect. This hope- this beautiful and living hope (I Peter 1:3-4) is for the future but also gives us hope for our present days.
Pete Hamill, A Drinking Life: A Memoir|Actions are prayers too, and as I am trying, not always successfully, to be a good parent, a good husband, a good teacher, I sometimes think: this is my conversation with God. It seems to me now that the action of walking to Santiago was, in itself, a prayer – a prayer repeatedly and resoundingly answered. Benjamin is an answered prayer, of course, but so was James. He just wasn’t the answer we expected.
Laurell K. Hamilton, Narcissus in Chains|He was like Superman, but with fangs and oddly impaired morals.
Neelniki|And sorrows return, though we drown them with wine,Since the world can in no way answer our craving,I will loosen my hair tomorrow and take to a fishingboat.
N.D. Wilson, 100 Cupboards|I wanted to get away,' said she; 'everybody wants to plague and worry me about nothing. They'll be all right tomorrow. What's worrying them?''They are sacrificing to our Canadian God,' said Solly. 'We all believe that if we fret and abuse ourselves sufficiently, Providence will take pity and smile upon anything we attempt. A light heart, or a consciousness of desert, attracts ill luck. You have been away from your native land too long. You have forgotten our folkways. Listen to that gang over there; they are scanning the heavens and hoping aloud that it won't rain tomorrow. That is to placate the Mean Old Man in the Sky, and persuade him to be kind to us.
Agatha Christie, The Murder of Roger Ackroyd / Murder on the Orient Express / Ten Little Niggers / At Bertram's Hotel / Pieces|All experienced murderers seek cover. By putting the Agency’s fingerprints on [Mafia] operations, the mob could anticipate that the CIA would [be forced to] cooperate in the cover-up of crucial information related to JFK's assassination
Caroline Kennedy|This is going to sound really sad, but I didn't really have any heartthrobs when I was growing up. I was a bit of a geek.
Neil Armstrong|Modern science says: 'The sun is the past, the earth is the present, the moon is the future.' From an incandescent mass we have originated, and into a frozen mass we shall turn. Merciless is the law of nature, and rapidly and irresistibly we are drawn to our doom.
Lailah Gifty Akita, Think Great: Be Great!|When you connect with nature, you will create yourself.
Manuel Corazzari|reading books is great, reading pictures much better, especially those that shows you the future #quote
Jeffrey Alford, Beyond the Great Wall: Recipes and Travels in the Other China|Il faut suivre ta boussole [You must follow your compass], as we say in French. Do what feels right to you, then figure out how to earn a living at the same time.
