Tim O'Brien, The Things They Carried|Men killed, and died, because they were embarrassed not to.
David E. Fitch|The gospel is the announcement that God has fulfilled the promise of Scriptures to make the world right in Jesus Christ (1 Cor 15:1-11). Christ has died for our sins. By his death and resurrection (and ascension), he has defeated the effects of our sins, including death itself. He now sits at the right hand of the Father ruling over the world. In Christ the new creation has begun. Old things are passing away. Behold, the new has begun (2 Cor 5:17). All who respond to this good news repent of the old ways, and make Jesus their Lord and Savior, enter in and become part of what God is doing to reconcile the whole world to himself (2 Cor 5:18-19), and receive power to become the children of God (Jn 1:12). This in one paragraph is the gospel.
Amy Plum|He leaned forward and opened his door, politely standing aside to let me by before following me in. There are some advantages to dating a guy from another era, I thought. Though I am a big believer in gender equality, chivalry scores high in my book.
Paulo Coelho, The Pilgrimage|Human beings are the only ones in nature who are aware that they will die. For that reason and only for that reason, I have a profound respect for the human race, and I believe that its future is going to be much better than its present. Even knowing that their days are numbered and that everything will end when they least expect it, people make of their lives a battle that is worthy of a being with eternal life. What people regard as vanity-leaving great works, having children, acting in such a way as to prevent one's name from being forgotten- I regard as the highest expression of human dignity.
C.S. Lewis, Letters to Malcolm: Chiefly on Prayer|It is no use to ask God with factitious earnestness for A when our whole mind is in reality filled with the desire for B. We must lay before Him what is in us, not what ought to be in us.
Amit Ray, Meditation: Insights and Inspirations|When you touch the celestial in your heart, you will realize that the beauty of your soul is so pure, so vast and so devastating that you have no option but to merge with it. You have no option but to feel the rhythm of the universe in the rhythm of your heart.
Nelson Mandela, Long Walk to Freedom: Autobiography of Nelson Mandela|I am fundamentally an optimist. Whether that comes from nature or nurture, I cannot say. Part of being optimistic is keeping one's head pointed toward the sun, one's feet moving forward. There were many dark moments when my faith in humanity was sorely tested, but I would not and could not give myself up to despair. That way lays defeat and death.
Shelley Lubben, Truth Behind the Fantasy of Porn: The Greatest Illusion on Earth|For God has not given us the spirit of fear;but of power, and of love, and of a sound mind. -2 Timothy 1: 7 (NKJV)
Dietrich Bonhoeffer, Ethics|Deplorable practices adopted during the last century were repeatedly declared necessary if regrettable in order to win the war. Oddly enough, we've yet to win. You'd think somebody would have asked before this why the regrettable but necessary measures haven't actually produced the promised results.
Lailah Gifty Akita|There is no competition in work. If you want it, work for it.
Elizabeth Cady Stanton, The Woman's Bible: A Classic Feminist Perspective|It’s okay. Let your ego push you to be the initiator. But tell your ego that the best way to get something shipped is to let other people take the credit. The real win for you (and your ego) is seeing something get shipped, not in getting the credit when it does.
Joss Whedon|Write it. Shoot it. Publish it. Crochet it, sauté it, whatever. MAKE.
Emil M. Cioran|When the ships had lifted, they returned across the river to the silence of death. Then his grandfather told him, "Many fine things your father had planned for you: learning and useful work and a life of satisfaction and peace. Do you recall this?""Yes, Grandfather.""The learning you shall have. You will learn patience and resource, the ability of your hands and your mind. You will have useful work: the destruction of evil men. What work could be more useful? This is Beyond; you will find that your work is never done—so therefore you may never know life of peace. However, I guarantee you ample satisfaction, for I will teach you to crave the blood of these men more than the flesh of woman."The old man had been as good as his word.
Kirby Howell, Autumn in the Dark Meadows|He pulled me back to him, stroking my hair as if to calm me. Tears sprang to my eyes and melted into the water around me. I didn't want to die. But people died every day. What hope I had for heaven's existence faded away, and I realized I would simply disappear.
